Time (s)	jump_z_t (m)	Displacement field, Z-component (m)	w-jump_z_t (m)
1.8380	0.0030126	0.0030115	-1.1189E-6
1.8400	0.0032054	0.0032054	4.4699E-8
1.8420	0.0034054	0.0034044	-9.8468E-7
1.8440	0.0036127	0.0036119	-7.6695E-7
1.8460	0.0038274	0.0038274	2.3438E-8
1.8480	0.0040496	0.0040481	-1.4486E-6
1.8500	0.0042792	0.0042787	-4.6726E-7
1.8520	0.0045164	0.0045163	-7.6361E-8
1.8540	0.0047612	0.0047592	-2.0040E-6
1.8560	0.0050136	0.0050134	-2.2964E-7
1.8580	0.0052738	0.0052735	-2.5838E-7
1.8600	0.0055417	0.0055397	-1.9543E-6
1.8620	0.0058173	0.0058173	-6.1694E-8
1.8640	0.0061008	0.0061003	-5.2456E-7
1.8660	0.0063921	0.0063907	-1.4511E-6
1.8680	0.0066913	0.0066913	3.0996E-8
1.8700	0.0069984	0.0069975	-8.7520E-7
1.8720	0.0073134	0.0073124	-1.0115E-6
1.8740	0.0076363	0.0076364	4.4701E-8
1.8760	0.0079672	0.0079659	-1.3091E-6
1.8780	0.0083061	0.0083055	-6.4259E-7
1.8800	0.0086530	0.0086529	-2.2565E-8
1.8820	0.0090078	0.0090060	-1.8234E-6
1.8840	0.0093707	0.0093703	-3.4957E-7
1.8860	0.0097415	0.0097413	-1.7117E-7
1.8880	0.010120	0.010118	-2.2939E-6
1.8900	0.010507	0.010507	-1.3596E-7
1.8920	0.010902	0.010902	-3.9994E-7
1.8940	0.011305	0.011303	-1.7142E-6
1.8960	0.011716	0.011716	-3.5790E-9
1.8980	0.012134	0.012134	3.9000E-8
1.9000	0.012561	0.012563	1.7256E-6
1.9020	0.012996	0.012991	-4.5172E-6
1.9040	0.013438	0.013427	-1.1157E-5
1.9060	0.013889	0.013887	-1.7822E-6
1.9080	0.014347	0.014347	-2.7015E-7
1.9100	0.014813	0.014809	-4.0063E-6
1.9120	0.015287	0.015287	5.1894E-7
1.9140	0.015769	0.015766	-2.7306E-6
1.9160	0.016258	0.016253	-4.9960E-6
1.9180	0.016755	0.016757	1.3601E-6
1.9200	0.017260	0.017260	3.8004E-7
1.9220	0.017772	0.017772	-4.0163E-7
1.9240	0.018293	0.018292	-9.1167E-7
1.9260	0.018820	0.018820	2.6601E-7
1.9280	0.019355	0.019355	-1.6952E-7
1.9300	0.019898	0.019898	1.9534E-8
1.9320	0.020448	0.020448	-4.8321E-8
1.9340	0.021005	0.021005	-1.4688E-8
1.9360	0.021569	0.021569	-8.0082E-8
1.9380	0.022141	0.022141	-7.3685E-8
1.9400	0.022720	0.022720	-4.9864E-8
1.9420	0.023306	0.023306	-2.2661E-8
1.9440	0.023899	0.023899	-7.5421E-9
1.9460	0.024499	0.024499	7.6650E-10
1.9480	0.025106	0.025106	9.7237E-10
1.9500	0.025720	0.025720	-6.3456E-9
1.9520	0.026341	0.026341	-2.0997E-8
1.9540	0.026968	0.026968	-4.2776E-8
1.9560	0.027602	0.027602	-7.1400E-8
1.9580	0.028243	0.028243	-6.1722E-8
1.9600	0.028890	0.028890	-3.4640E-8
1.9620	0.029544	0.029544	-1.5238E-8
1.9640	0.030203	0.030203	-3.2742E-9
1.9660	0.030870	0.030870	1.5023E-9
