Time (s)	jump_z_t (m)	Displacement field, Z-component (m)	w-jump_z_t (m)
2.7420	0.028243	0.028241	-1.9913E-6
2.7440	0.027602	0.027602	-6.1800E-8
2.7460	0.026968	0.026966	-2.5213E-6
2.7480	0.026341	0.026341	3.2130E-8
2.7500	0.025720	0.025717	-3.1422E-6
2.7520	0.025106	0.025106	7.6486E-8
2.7540	0.024499	0.024496	-3.5631E-6
2.7560	0.023899	0.023899	6.9751E-8
2.7580	0.023306	0.023303	-3.0287E-6
2.7600	0.022720	0.022720	5.2597E-9
2.7620	0.022141	0.022139	-2.5157E-6
2.7640	0.021569	0.021569	-1.1552E-7
2.7660	0.021005	0.021003	-2.0425E-6
2.7680	0.020448	0.020447	-2.9937E-7
2.7700	0.019898	0.019896	-1.6042E-6
2.7720	0.019355	0.019355	-5.4415E-7
2.7740	0.018820	0.018819	-1.2110E-6
2.7760	0.018293	0.018292	-8.5526E-7
2.7780	0.017772	0.017772	-8.6258E-7
2.7800	0.017260	0.017259	-1.2306E-6
2.7820	0.016755	0.016755	-5.6485E-7
2.7840	0.016258	0.016256	-1.6737E-6
2.7860	0.015769	0.015768	-3.1943E-7
2.7880	0.015287	0.015285	-2.1824E-6
2.7900	0.014813	0.014813	-1.2974E-7
2.7920	0.014347	0.014344	-2.7586E-6
2.7940	0.013889	0.013889	2.3135E-9
2.7960	0.013438	0.013435	-3.3999E-6
2.7980	0.012996	0.012996	7.4763E-8
2.8000	0.012561	0.012557	-4.1063E-6
2.8020	0.012134	0.012134	8.6161E-8
2.8040	0.011716	0.011712	-3.6684E-6
2.8060	0.011305	0.011305	3.5671E-8
2.8080	0.010902	0.010899	-3.0285E-6
2.8100	0.010507	0.010507	-7.7327E-8
2.8120	0.010120	0.010118	-2.4429E-6
2.8140	0.0097415	0.0097412	-2.5263E-7
2.8160	0.0093707	0.0093687	-1.9146E-6
2.8180	0.0090078	0.0090073	-4.8982E-7
2.8200	0.0086530	0.0086515	-1.4457E-6
2.8220	0.0083061	0.0083053	-7.8764E-7
2.8240	0.0079672	0.0079662	-1.0382E-6
2.8260	0.0076363	0.0076352	-1.1445E-6
2.8280	0.0073134	0.0073127	-6.9320E-7
2.8300	0.0069984	0.0069968	-1.5580E-6
2.8320	0.0066913	0.0066909	-4.1168E-7
2.8340	0.0063921	0.0063901	-2.0253E-6
2.8360	0.0061008	0.0061006	-1.9390E-7
2.8380	0.0058173	0.0058148	-2.5428E-6
2.8400	0.0055417	0.0055416	-3.9662E-8
2.8420	0.0052738	0.0052707	-3.1062E-6
2.8440	0.0050136	0.0050137	5.1842E-8
2.8460	0.0047612	0.0047575	-3.7106E-6
2.8480	0.0045164	0.0045165	8.1989E-8
2.8500	0.0042792	0.0042755	-3.7300E-6
2.8520	0.0040496	0.0040496	5.2773E-8
2.8540	0.0038274	0.0038244	-3.0437E-6
2.8560	0.0036127	0.0036127	-3.3163E-8
2.8580	0.0034054	0.0034030	-2.4287E-6
2.8600	0.0032054	0.0032052	-1.7252E-7
2.8620	0.0030126	0.0030107	-1.8853E-6
2.8640	0.0028271	0.0028267	-3.6131E-7
2.8660	0.0026486	0.0026472	-1.4131E-6
2.8680	0.0024771	0.0024765	-5.9483E-7
2.8700	0.0023126	0.0023116	-1.0113E-6
2.8720	0.0021550	0.0021541	-8.6762E-7
2.8740	0.0020041	0.0020034	-6.7842E-7
2.8760	0.0018599	0.0018587	-1.1735E-6
2.8780	0.0017223	0.0017219	-4.1226E-7
2.8800	0.0015912	0.0015897	-1.5054E-6
2.8820	0.0014664	0.0014662	-2.1001E-7
2.8840	0.0013479	0.0013460	-1.8555E-6
2.8860	0.0012355	0.0012355	-6.8131E-8
2.8880	0.0011292	0.0011270	-2.2152E-6
2.8900	0.0010289	0.0010289	1.7646E-8
2.8920	9.3426E-4	9.3168E-4	-2.5748E-6
2.8940	8.4533E-4	8.4538E-4	5.2342E-8
2.8960	7.6194E-4	7.5908E-4	-2.8550E-6
2.8980	6.8394E-4	6.8398E-4	4.1759E-8
2.9000	6.1121E-4	6.0896E-4	-2.2502E-6
2.9020	5.4358E-4	5.4357E-4	-7.4888E-9
2.9040	4.8092E-4	4.7919E-4	-1.7277E-6
2.9060	4.2307E-4	4.2299E-4	-8.7950E-8
2.9080	3.6988E-4	3.6859E-4	-1.2846E-6
2.9100	3.2117E-4	3.2098E-4	-1.9131E-7
2.9120	2.7679E-4	2.7587E-4	-9.1727E-7
2.9140	2.3656E-4	2.3626E-4	-3.0836E-7
2.9160	2.0032E-4	1.9969E-4	-6.2135E-7
2.9180	1.6787E-4	1.6744E-4	-4.2898E-7
2.9200	1.3903E-4	1.3864E-4	-3.9164E-7
2.9220	1.1362E-4	1.1307E-4	-5.4208E-7
2.9240	9.1434E-5	9.1212E-5	-2.2214E-7
2.9260	7.2284E-5	7.1648E-5	-6.3561E-7
2.9280	5.5961E-5	5.5855E-5	-1.0599E-7
2.9300	4.2259E-5	4.1563E-5	-6.9652E-7
2.9320	3.0964E-5	3.0928E-5	-3.5446E-8
2.9340	2.1857E-5	2.1147E-5	-7.1069E-7
2.9360	1.4717E-5	1.4715E-5	-1.8622E-9
2.9380	9.3149E-6	8.6519E-6	-6.6298E-7
2.9400	5.4178E-6	5.4222E-6	4.3422E-9
2.9420	2.7879E-6	2.2508E-6	-5.3711E-7
2.9440	1.1821E-6	1.1758E-6	-6.2855E-9
2.9460	3.5201E-7	1.0079E-7	-2.5122E-7
2.9480	4.4223E-8	2.2019E-8	-2.2204E-8
2.9500	0.0000	7.7341E-9	7.7341E-9
2.9520	0.0000	1.6071E-9	1.6071E-9
2.9540	0.0000	-3.0953E-9	-3.0953E-9
2.9560	0.0000	-1.5153E-9	-1.5153E-9
2.9580	0.0000	2.0115E-9	2.0115E-9
2.9600	0.0000	1.3689E-9	1.3689E-9
2.9620	0.0000	-1.2761E-9	-1.2761E-9
2.9640	0.0000	-1.2011E-9	-1.2011E-9
2.9660	0.0000	7.8275E-10	7.8275E-10
2.9680	0.0000	1.0316E-9	1.0316E-9
2.9700	0.0000	-4.5630E-10	-4.5630E-10
2.9720	0.0000	-8.7174E-10	-8.7174E-10
2.9740	0.0000	2.4415E-10	2.4415E-10
2.9760	0.0000	7.2736E-10	7.2736E-10
2.9780	0.0000	-1.0956E-10	-1.0956E-10
2.9800	0.0000	-6.0069E-10	-6.0069E-10
2.9820	0.0000	2.7000E-11	2.7000E-11
2.9840	0.0000	4.9189E-10	4.9189E-10
2.9860	0.0000	2.1126E-11	2.1126E-11
2.9880	0.0000	-3.9995E-10	-3.9995E-10
2.9900	0.0000	-4.6876E-11	-4.6876E-11
2.9920	0.0000	3.0620E-10	3.0620E-10
2.9940	0.0000	5.8430E-11	5.8430E-11
2.9960	0.0000	-2.0638E-10	-2.0638E-10
2.9980	0.0000	-6.1278E-11	-6.1278E-11
3.0000	0.0000	1.3733E-10	1.3733E-10
3.0000	0.0000	1.3733E-10	1.3733E-10
3.0250	0.0000	2.3475E-11	2.3475E-11
3.0500	0.0000	4.0061E-12	4.0061E-12
3.0750	0.0000	6.8239E-13	6.8239E-13
3.1000	0.0000	1.1600E-13	1.1600E-13
3.1250	0.0000	1.9677E-14	1.9677E-14
3.1500	0.0000	3.3294E-15	3.3294E-15
3.1750	0.0000	5.6186E-16	5.6186E-16
3.2000	0.0000	9.4533E-17	9.4533E-17
3.2250	0.0000	1.5852E-17	1.5852E-17
3.2500	0.0000	2.6482E-18	2.6482E-18
3.2750	0.0000	4.4051E-19	4.4051E-19
3.3000	0.0000	7.2916E-20	7.2916E-20
3.3250	0.0000	1.2001E-20	1.2001E-20
3.3500	0.0000	1.9623E-21	1.9623E-21
3.3750	0.0000	3.1832E-22	3.1832E-22
3.4000	0.0000	5.1152E-23	5.1152E-23
3.4250	0.0000	8.1245E-24	8.1245E-24
3.4500	0.0000	1.2717E-24	1.2717E-24
3.4750	0.0000	1.9531E-25	1.9531E-25
3.5000	0.0000	2.9239E-26	2.9239E-26
3.5250	0.0000	4.2212E-27	4.2212E-27
3.5500	0.0000	5.7638E-28	5.7638E-28
3.5750	0.0000	7.1454E-29	7.1454E-29
3.6000	0.0000	7.1770E-30	7.1770E-30
3.6250	0.0000	2.9129E-31	2.9129E-31
3.6500	0.0000	-1.2365E-31	-1.2365E-31
3.6750	0.0000	-5.3242E-32	-5.3242E-32
3.7000	0.0000	-1.5035E-32	-1.5035E-32
3.7250	0.0000	-3.6653E-33	-3.6653E-33
3.7500	0.0000	-8.2844E-34	-8.2844E-34
3.7750	0.0000	-1.7879E-34	-1.7879E-34
3.8000	0.0000	-3.7398E-35	-3.7398E-35
3.8250	0.0000	-7.6488E-36	-7.6488E-36
3.8500	0.0000	-1.5380E-36	-1.5380E-36
3.8750	0.0000	-3.0518E-37	-3.0518E-37
3.9000	0.0000	-5.9912E-38	-5.9912E-38
3.9250	0.0000	-1.1659E-38	-1.1659E-38
3.9500	0.0000	-2.2524E-39	-2.2524E-39
3.9750	0.0000	-4.3243E-40	-4.3243E-40
4.0000	0.0000	-8.2579E-41	-8.2579E-41
