Time (s)	w (m)	w-jump_z_t (m)	solid.disp (m)	solid.mises (N/m^2)
2.9860	-0.0073781	-0.0073781	0.0074386	1256.7
2.9880	-0.0072866	-0.0072866	0.0073452	1238.6
2.9900	-0.0072038	-0.0072038	0.0072608	1222.0
2.9920	-0.0071210	-0.0071210	0.0071763	1205.4
2.9940	-0.0070484	-0.0070484	0.0071022	1190.6
2.9960	-0.0069761	-0.0069761	0.0070284	1175.9
2.9980	-0.0069140	-0.0069140	0.0069649	1163.0
3.0000	-0.0068532	-0.0068532	0.0069028	1150.4
3.0000	-0.0068532	-0.0068532	0.0069028	1150.4
3.0250	-0.0066619	-0.0066619	0.0067058	1107.2
3.0500	-0.0074501	-0.0074501	0.0075081	1264.1
3.0750	-0.0088197	-0.0088197	0.0089035	1530.0
3.1000	-0.010063	-0.010063	0.010166	1759.8
3.1250	-0.010464	-0.010464	0.010568	1827.1
3.1500	-0.0097586	-0.0097586	0.0098478	1693.1
3.1750	-0.0083273	-0.0083273	0.0084017	1431.5
3.2000	-0.0070546	-0.0070546	0.0071120	1196.8
3.2250	-0.0066083	-0.0066083	0.0066546	1105.8
3.2500	-0.0071684	-0.0071684	0.0072209	1204.2
3.2750	-0.0084340	-0.0084340	0.0085064	1447.5
3.3000	-0.0097762	-0.0097762	0.0098728	1709.8
3.3250	-0.010447	-0.010447	0.010557	1831.5
3.3500	-0.010049	-0.010049	0.010147	1749.8
3.3750	-0.0087676	-0.0087676	0.0088428	1508.5
3.4000	-0.0073402	-0.0073402	0.0073982	1245.4
3.4250	-0.0066002	-0.0066002	0.0066490	1106.9
3.4500	-0.0069291	-0.0069291	0.0069815	1166.5
3.4750	-0.0080731	-0.0080731	0.0081404	1378.2
3.5000	-0.0094483	-0.0094483	0.0095363	1640.1
3.5250	-0.010344	-0.010344	0.010448	1811.8
3.5500	-0.010259	-0.010259	0.010364	1794.8
3.5750	-0.0091836	-0.0091836	0.0092701	1589.2
3.6000	-0.0077018	-0.0077018	0.0077630	1311.2
3.6250	-0.0066901	-0.0066901	0.0067377	1121.1
3.6500	-0.0067252	-0.0067252	0.0067736	1127.3
3.6750	-0.0077179	-0.0077179	0.0077824	1314.8
3.7000	-0.0091053	-0.0091053	0.0091918	1577.0
3.7250	-0.010182	-0.010182	0.010281	1779.8
3.7500	-0.010375	-0.010375	0.010476	1813.6
3.7750	-0.0095450	-0.0095450	0.0096379	1656.6
3.8000	-0.0081179	-0.0081179	0.0081887	1391.2
3.8250	-0.0068844	-0.0068844	0.0069362	1162.1
3.8500	-0.0065779	-0.0065779	0.0066229	1097.8
3.8750	-0.0073739	-0.0073739	0.0074295	1244.4
3.9000	-0.0087520	-0.0087520	0.0088327	1510.9
3.9250	-0.0099628	-0.0099628	0.010065	1743.7
3.9500	-0.010409	-0.010409	0.010514	1822.4
3.9750	-0.0098529	-0.0098529	0.0099447	1712.6
4.0000	-0.0085324	-0.0085324	0.0086069	1463.7
