% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 14:20"
% Table,Table 3 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.113023333752026E-13,3.917405442721982E-10
0.025,0.02001740885199454,5.828880796823574
0.05,0.10912193886117932,32.808403286261424
0.07500000000000001,0.22328516775883867,68.43159002060834
0.1,0.2865635846057675,87.52898422029706
0.125,0.2988678045657497,90.6799326422461
0.15000000000000002,0.3384481667618395,102.61193913930842
0.17500000000000002,0.4418008657737669,134.3726886649939
0.2,0.5478907625832403,167.1508160510314
0.225,0.5905252514326637,179.83650968612318
0.25,0.5996299389346519,182.1347311873208
0.275,0.6620056420398561,201.04363629547788
0.30000000000000004,0.7780032515280493,236.84712081293563
0.325,0.8645965585191789,263.5837710630831
0.35000000000000003,0.8876774239359014,270.00371290706073
0.375,0.9090797130075547,276.16205898055205
0.4,0.9928466475724048,301.95325488354655
0.42500000000000004,1.1079817157334146,337.2857995313036
0.45,1.1746239625955996,357.86307522906276
0.47500000000000003,1.1867905032950827,360.88676282883284
0.5,1.2236032069979115,371.73525907381054
0.525,1.3269460021818364,403.85345052055646
0.55,1.4349045453060245,436.8811402124382
0.5750000000000001,1.4766740169602315,449.50076499924984
0.6000000000000001,1.4871566949112254,452.22720265346726
0.625,1.5487657664585985,470.7213601416821
0.65,1.661389588483763,505.7090077328241
0.675,1.7512303753877405,533.2428690372667
0.7000000000000001,1.7772163118449298,540.7453831644273
0.7250000000000001,1.794897299429156,545.6397542708264
0.75,1.8766992114209615,570.7789115677622
0.775,1.9945359841741392,607.1842043526922
0.8,2.060666900385181,627.2231991805555
0.8250000000000001,2.076497989175672,631.7320611971724
0.8500000000000001,2.1114207062468138,641.973397569943
0.875,2.2080255060349994,671.5790598151083
0.9,2.3166306843882314,705.3580845532994
0.925,2.369790667186029,721.2783187387548
0.9500000000000001,2.382693683058722,724.5555197822729
0.9750000000000001,2.4296356451599292,738.9480859145752
1,2.5369864818258283,771.8609829808843
1.0250000000000001,2.617918624780202,797.1165255501526
1.05,2.566669067287784,781.6208977183884
1.075,2.465714111019202,749.2997768505035
1.1,2.4654570489620657,749.3401436894328
1.125,2.567531635085016,781.7436407080048
1.1500000000000001,2.61656506921299,796.7669678248694
1.175,2.537318755563637,772.1476079879604
1.2000000000000002,2.4507346378972055,744.7094514678797
1.2,2.450734637897206,744.7094514678794
1.2049999999999998,2.4484323101271013,743.9600921512299
1.21,2.4501767259763523,744.5046282147119
1.2149999999999999,2.457596955042155,746.8637368318631
1.22,2.471612238394437,751.3212590823991
1.2249999999999999,2.4883022292490558,756.6260543498556
1.23,2.5098873803511603,763.4643261274505
1.2349999999999999,2.5322887151971476,770.5377277720122
1.24,2.5555193277312376,777.850029262008
1.2449999999999999,2.576317671995001,784.3549710443215
