% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 8 2026, 16:47"
% Table,Table 6 - Volume Maximum 2
% Time (s),tumor max displacement (1),tumor vm integral (1),tumar max VM (1)
0,4.1782772917050596E-13,3.324663472871067E-18,3.324663472871067E-18
0.025,0.025850293797180162,2.5471886336202393E-4,2.5471886336202393E-4
0.05,0.17834194461394318,0.005869534567037251,0.005869534567037251
0.07500000000000001,0.41450267198814794,0.014879182517568436,0.014879182517568436
0.1,0.5452671899069557,0.01942411653544813,0.01942411653544813
0.125,0.5220133934071461,0.017330392556234725,0.017330392556234725
0.15000000000000002,0.5849328084155133,0.020255167812697643,0.020255167812697643
0.17500000000000002,0.8019800065546759,0.027333748599810206,0.027333748599810206
0.2,1.0068721172283075,0.03565372625266706,0.03565372625266706
0.225,1.0641630471509878,0.036956116895469064,0.036956116895469064
0.25,1.0687870035909257,0.03641832293570549,0.03641832293570549
0.275,1.179433127473356,0.04038015624163317,0.04038015624163317
0.30000000000000004,1.3992634758656182,0.048417442195996176,0.048417442195996176
0.325,1.5800396120432303,0.055431004029047326,0.055431004029047326
0.35000000000000003,1.6068367425577477,0.055191661600606304,0.055191661600606304
0.375,1.605652386176102,0.055216974831411456,0.055216974831411456
0.4,1.780023895851349,0.06110617531691355,0.06110617531691355
0.42500000000000004,2.0145875874009187,0.06997134946825086,0.06997134946825086
0.45,2.129413676954032,0.07419638430295872,0.07419638430295872
0.47500000000000003,2.122488009673994,0.0731303428078539,0.0731303428078539
0.5,2.1882729134979657,0.07488277263495309,0.07488277263495309
0.525,2.389585998560265,0.08259243585481157,0.08259243585481157
0.55,2.592218856343819,0.09017554141504718,0.09017554141504718
0.5750000000000001,2.676183191469717,0.09279043887967273,0.09279043887967273
0.6000000000000001,2.6669418111246874,0.09154318443252066,0.09154318443252066
0.625,2.7563906508089167,0.09490164874876711,0.09490164874876711
0.65,3.007518865341447,0.10413830440214174,0.10413830440214174
0.675,3.1753722961301887,0.11022977759651607,0.11022977759651607
0.7000000000000001,3.1948613593723696,0.11046360088307831,0.11046360088307831
0.7250000000000001,3.208715682854787,0.11043299319747224,0.11043299319747224
0.75,3.37714429198712,0.11617475082877585,0.11617475082877585
0.775,3.5991190876849237,0.12491916617239106,0.12491916617239106
0.8,3.720614950386629,0.12906533060603467,0.12906533060603467
0.8250000000000001,3.743252696123411,0.12897528323591315,0.12897528323591315
0.8500000000000001,3.7789381996042333,0.1301521214911377,0.1301521214911377
0.875,3.958932840636695,0.1366787677769712,0.1366787677769712
0.9,4.200627337385376,0.1455506043860436,0.1455506043860436
0.925,4.280766306735102,0.14842083982947915,0.14842083982947915
0.9500000000000001,4.266478414640837,0.1469352834219049,0.1469352834219049
0.9750000000000001,4.3595499808231875,0.150298895810468,0.150298895810468
1,4.57379874886794,0.15795968403119034,0.15795968403119034
1.0250000000000001,4.736064146491256,0.16464839905913536,0.16464839905913536
1.05,4.6432437520876775,0.16135145339847273,0.16135145339847273
1.075,4.419061492270327,0.15128441300373013,0.15128441300373013
1.1,4.389102130453951,0.1509146675236278,0.1509146675236278
1.125,4.636620783994907,0.16105102648736505,0.16105102648736505
1.1500000000000001,4.766715185998342,0.16510536228524494,0.16510536228524494
1.175,4.563009527200834,0.15859393071339176,0.15859393071339176
1.2000000000000002,4.359148251287892,0.14890823177565912,0.14890823177565912
1.2,4.359148251287894,0.14890823177565862,0.14890823177565862
1.2049999999999998,4.359019188865536,0.1489453886653175,0.1489453886653175
1.21,4.368847190241489,0.14945216546371112,0.14945216546371112
1.2149999999999999,4.3926381348845265,0.1506173319902881,0.1506173319902881
1.22,4.430066188351368,0.1522284778432205,0.1522284778432205
1.2249999999999999,4.472597251222636,0.1540119903648783,0.1540119903648783
1.23,4.522623372664507,0.15607335563450397,0.15607335563450397
1.2349999999999999,4.572532987092926,0.1581563563248491,0.1581563563248491
1.24,4.622324087558129,0.16026133105505128,0.16026133105505128
1.2449999999999999,4.664921775234846,0.16198075673541754,0.16198075673541754
1.25,4.7047577989912295,0.16348124421699475,0.16348124421699475
1.255,4.738992770847256,0.16442129423345406,0.16442129423345406
1.26,4.7812763894658445,0.16509403908138703,0.16509403908138703
1.265,4.83353343765165,0.1655891323587111,0.1655891323587111
1.27,4.920972350513563,0.16625421081256245,0.16625421081256245
1.275,5.061736817755247,0.16823952505933445,0.16823952505933445
1.28,5.26256029554706,0.1728527414947406,0.1728527414947406
1.285,5.531797620323176,0.1812247084343269,0.1812247084343269
1.29,5.874545231685522,0.19392298136611688,0.19392298136611688
1.295,6.291934231129895,0.21080090324746087,0.21080090324746087
1.3,6.786375935589665,0.23103929699534315,0.23103929699534315
1.305,7.335272962645608,0.25301238143160987,0.25301238143160987
1.31,7.909604906714049,0.2756717405504623,0.2756717405504623
1.315,8.48814856229505,0.2980476072463888,0.2980476072463888
1.3199999999999998,9.051150433068424,0.3191684502260566,0.3191684502260566
1.325,9.573365146042425,0.33786742200713954,0.33786742200713954
1.33,10.033476803412444,0.35392372046799064,0.35392372046799064
1.335,10.411124216852443,0.36738660706117693,0.36738660706117693
1.3399999999999999,10.681277596605014,0.37760500357401755,0.37760500357401755
1.345,10.837021195283558,0.383826696834776,0.383826696834776
1.3499999999999999,10.874670058929897,0.3849940664163845,0.3849940664163845
1.355,10.79747135705569,0.3802642941440285,0.3802642941440285
1.3599999999999999,10.620945015675959,0.36997982113271727,0.36997982113271727
1.365,10.370994115809667,0.35596428097902405,0.35596428097902405
1.3699999999999999,10.085196775990529,0.3417836187322059,0.3417836187322059
1.375,9.799854147220882,0.33132599982033634,0.33132599982033634
1.38,9.551030674104878,0.32702860115530435,0.32702860115530435
1.385,9.367969513246562,0.32608859351934444,0.32608859351934444
1.39,9.262165467477832,0.32441158757619515,0.32441158757619515
1.395,9.230037845008418,0.3205422837780984,0.3205422837780984
1.4,9.27269505204921,0.31708887366369115,0.31708887366369115
1.405,9.375828044132591,0.31734130532520644,0.31734130532520644
1.41,9.536936458288285,0.3216816872723649,0.3216816872723649
1.415,9.751059612983704,0.3290263967808102,0.3290263967808102
1.42,10.003013041576983,0.33905847790357735,0.33905847790357735
1.425,10.261877791806619,0.3512371492179339,0.3512371492179339
1.43,10.504372874161723,0.36425012441904797,0.36425012441904797
1.435,10.705721297940473,0.375770483694524,0.375770483694524
1.44,10.841086486366216,0.3834948924137768,0.3834948924137768
1.4449999999999998,10.89525701034555,0.3866221332322916,0.3866221332322916
1.45,10.856704562898209,0.3853518187146026,0.3853518187146026
1.455,10.713661364801544,0.37988042926282456,0.37988042926282456
1.46,10.479659193079689,0.3707513116011255,0.3707513116011255
1.4649999999999999,10.163021428880496,0.358419226421009,0.358419226421009
1.47,9.77023562435071,0.3433597132635023,0.3433597132635023
1.475,9.305074023211919,0.3255054516452017,0.3255054516452017
1.48,8.796532271380489,0.30588828742574975,0.30588828742574975
1.4849999999999999,8.261591869280878,0.28536425130090176,0.28536425130090176
1.49,7.718894534434586,0.2645208272883173,0.2645208272883173
1.4949999999999999,7.190801412632172,0.24427995004227224,0.24427995004227224
1.5,6.695131021349437,0.22591625226342563,0.22591625226342563
1.505,6.247651966164706,0.20997994255686875,0.20997994255686875
1.51,5.864660272955835,0.19667871587592015,0.19667871587592015
1.515,5.5519230204106345,0.18625920518447772,0.18625920518447772
1.52,5.305550545852987,0.17850198668579098,0.17850198668579098
1.525,5.123201293859787,0.17300825408166992,0.17300825408166992
1.53,5.007919725975213,0.16951987458145362,0.16951987458145362
1.535,4.946034413917005,0.1674572205831542,0.1674572205831542
1.54,4.924042512304344,0.1667767968443368,0.1667767968443368
1.545,4.926871222472518,0.1675039111245296,0.1675039111245296
1.55,4.933486077328359,0.16959997194092294,0.16959997194092294
1.555,4.921079996169313,0.17254819182696599,0.17254819182696599
1.56,4.8710291708455955,0.17548565533113675,0.17548565533113675
1.565,4.762255465753168,0.1763848433386708,0.1763848433386708
1.5699999999999998,4.572165706723988,0.17223698299156345,0.17223698299156345
1.575,4.29653466204664,0.16167554673061507,0.16167554673061507
1.58,3.9303224894271653,0.1445060774917654,0.1445060774917654
1.585,3.465984161654449,0.12182267735176552,0.12182267735176552
1.5899999999999999,2.9159448741943326,0.096833760591699,0.096833760591699
1.595,2.3038051730115225,0.07239656508602316,0.07239656508602316
1.6,1.6548095017794124,0.05003918942716261,0.05003918942716261
1.605,1.0068648595736445,0.030013839295906113,0.030013839295906113
1.6099999999999999,0.4959941786412652,0.011364586085005316,0.011364586085005316
1.615,0.15507201492089576,0.017959626678636112,0.017959626678636112
1.6199999999999999,0.5947735084151611,0.023027832585160755,0.023027832585160755
1.625,0.9215831989716692,0.03426855701890597,0.03426855701890597
1.63,1.133171435333684,0.0435144107773942,0.0435144107773942
1.635,1.2386402376723329,0.04987019860467534,0.04987019860467534
1.64,1.2533181045495123,0.05207694299040964,0.05207694299040964
1.645,1.193571769645552,0.049531494144834785,0.049531494144834785
1.65,1.0760444574985777,0.04361092127995981,0.04361092127995981
1.655,0.9196872921312289,0.036305904898284655,0.036305904898284655
1.66,0.7407349060211738,0.028324969093492112,0.028324969093492112
1.665,0.5495943447193994,0.02000457224891777,0.02000457224891777
1.67,0.3966619485512491,0.012221992010351209,0.012221992010351209
1.675,0.2811260967196665,0.008542729316467948,0.008542729316467948
1.68,0.2025042565610757,0.013240862651150247,0.013240862651150247
1.685,0.17068833385927112,0.017795710176201865,0.017795710176201865
1.69,0.19706705241804776,0.01830312271391374,0.01830312271391374
