"Case","Nodes","PeakMeanDispMm","PeakMeanDispTimeS","PeakMaxDispMm","PeakMaxDispTimeS","PeakMeanAbsWMm","PeakMeanAbsWTimeS","MostNegativeWMm","MostNegativeWTimeS","ReviewMeanDispMm","ReviewMaxDispMm","ReviewMeanWMm","ReviewMinWMm","PeakMaxVmKpa","PeakMaxVmTimeS"
"simple_softskin_control","2776","27.998978008319","1.405","45.3486090661085","1.405","27.7795020513572","1.405","-45.3486089323193","1.405","25.3991732303494","40.9074080392979","-25.2125118437414","-40.9074078776632","16.4581211503495","1.405"
"simple_softskin_tumor","2776","27.9480175970305","1.405","45.2037262579683","1.405","27.7280196444794","1.405","-45.2034562743089","1.405","25.3739060890552","40.8208762834453","-25.1866678583878","-40.8207006241167","16.4550687794793","1.405"
