"Case","PeakAvgDispMm","PeakAvgDispTimeS","PeakMaxDispMm","PeakMaxDispTimeS","PeakAvgVmKpa","PeakMaxVmKpa","PeakMaxVmTimeS"
"simple_softskin_control","22.554127","1.405","45.582","1.405","1.065155","19.283","1.405"
"simple_softskin_tumor","22.536","1.405","45.486","1.405","1.0682","19.275","1.405"
