"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"simple_softskin_control","0","2776","3.90569668805891E-13","4.1782751998622E-13","-3.905696301875E-13","3.905696301875E-13","-4.1782751998622E-13","0","3.447014805293E-13","6.53532201782152E-12","4.17827518383372E-13","4.17827518383372E-13"
"simple_softskin_control","0.025","2776","0.022853569874028","0.0263513702670565","-0.0228119075063542","0.0228119075063542","-0.0263513699748075","0","0.00287473081976787","0.0245695744167663","0.0263410474661058","0.0263410449616206"
"simple_softskin_control","0.05","2776","0.160397690963886","0.205132725322993","-0.159965080993915","0.159965080993915","-0.205132723351312","0","0.0198429841918436","0.123048107307669","0.204767493427531","0.2047671219519"
"simple_softskin_control","0.075","2776","0.473938300110144","0.678172499959371","-0.472059486383517","0.472059486383517","-0.678172497422665","0","0.0612543908606033","0.308465608915839","0.675773024190256","0.675772937412582"
"simple_softskin_control","0.1","2776","0.921919343559554","1.43253266943431","-0.916573281141881","0.916573281141881","-1.43253266729805","0","0.12262976922921","0.559956983932939","1.42432729063452","1.42428293693428"
"simple_softskin_control","0.125","2776","1.38271030899013","2.22771460849802","-1.372553039809","1.372553039809","-2.22771459902021","0","0.186029324872718","0.820177861906828","2.2138978609045","2.21386404641921"
"simple_softskin_control","0.15","2776","1.74048509255222","2.81291104456576","-1.72696937321718","1.72696937321718","-2.81291103323652","0","0.234166320211578","1.02867807622204","2.79370871247964","2.7936557393909"
"simple_softskin_control","0.175","2776","1.93657011454856","3.09305914489543","-1.9228320250475","1.9228320250475","-3.09305910060886","0","0.260083972063368","1.15532691674841","3.07048652760179","3.07021554183647"
"simple_softskin_control","0.2","2776","1.98420683646568","3.11486813088555","-1.97181181701612","1.97181181701612","-3.11486809564013","0","0.264661007707854","1.19959062771379","3.09672213558469","3.09665363623736"
"simple_softskin_control","0.225","2776","1.98291722975556","3.0885459247954","-1.97081188931331","1.97081188931331","-3.08854588450193","0","0.262578695968013","1.21057440632124","3.07301173035321","3.07297997595172"
"simple_softskin_control","0.25","2776","2.08261875540804","3.25045532520117","-2.0697742692187","2.0697742692187","-3.25045528179601","0","0.27591292377441","1.27737567622033","3.2313574562251","3.23118814450835"
"simple_softskin_control","0.275","2776","2.35033315881324","3.66553026281683","-2.3360760856978","2.3360760856978","-3.66553025721869","0","0.312055749448351","1.44623744545813","3.64343935235654","3.64323962652905"
"simple_softskin_control","0.3","2776","2.7581658295106","4.30714208095587","-2.74091762351944","2.74091762351944","-4.30714207000004","0","0.366490186454158","1.68678666880381","4.28158046437456","4.28135045739988"
"simple_softskin_control","0.325","2776","3.2226065958221","5.08087502095001","-3.2015171998428","3.2015171998428","-5.08087500799596","0","0.429394800116469","1.93760327665679","5.04975314847333","5.04946419422649"
"simple_softskin_control","0.35","2776","3.63108670942442","5.7829761361526","-3.60635922131284","3.60635922131284","-5.78297610351853","0","0.486254374734247","2.17007055420067","5.74883933172829","5.74866044749439"
"simple_softskin_control","0.375","2776","3.87944277540422","6.17843801756895","-3.85241027755325","3.85241027755325","-6.17843798840422","0","0.519640514472782","2.3273641217057","6.13844822933362","6.13831815368512"
"simple_softskin_control","0.4","2776","3.96051042218799","6.25692530638314","-3.93387617275245","3.93387617275245","-6.2569252119587","0","0.528401865984294","2.39373672593125","6.21552163227499","6.21506892207484"
"simple_softskin_control","0.425","2776","3.96889691818585","6.22437756445463","-3.94398380817736","3.94398380817736","-6.22437746860688","0","0.528149995622799","2.41048859975371","6.18608557106568","6.1856859559541"
"simple_softskin_control","0.45","2776","4.02126727521227","6.28129383081855","-3.99660459209637","3.99660459209637","-6.28129375913594","0","0.533795033371105","2.45182944126746","6.24871949253421","6.24865269780986"
"simple_softskin_control","0.475","2776","4.22331628635123","6.60936703939358","-4.19695103996534","4.19695103996534","-6.60936700251693","0","0.56091753300474","2.57431477145036","6.57152297734176","6.57140782969572"
"simple_softskin_control","0.5","2776","4.6001467271593","7.22325104089829","-4.57082639539494","4.57082639539494","-7.22325102091872","0","0.611958483238664","2.80104619120861","7.17719735899349","7.17672802851337"
"simple_softskin_control","0.525","2776","5.07107592377255","7.98869418480051","-5.03784251405227","5.03784251405227","-7.98869416897258","0","0.676234960448368","3.07575788062467","7.93768890305318","7.93712384008992"
"simple_softskin_control","0.55","2776","5.50064948049163","8.69804759809441","-5.46404863396409","5.46404863396409","-8.69804757412485","0","0.73446322988891","3.30901091433989","8.64470785273539","8.64449088710446"
"simple_softskin_control","0.575","2776","5.79555900651068","9.18944289047467","-5.75683609186166","5.75683609186166","-9.18944280033658","0","0.774195636217937","3.47602942177406","9.13430813771329","9.13417103530267"
"simple_softskin_control","0.6","2776","5.9309749110964","9.38383314183554","-5.89145845693312","5.89145845693312","-9.38383307675771","0","0.791766230625445","3.57526730543861","9.32490477750931","9.32434874328023"
"simple_softskin_control","0.625","2776","5.95622616752597","9.37325287601247","-5.9173499527745","5.9173499527745","-9.37325274599658","0","0.793802564240348","3.61813797497634","9.31450063424115","9.31391644028269"
"simple_softskin_control","0.65","2776","5.97900860752974","9.37814292947277","-5.94116972658076","5.94116972658076","-9.3781428015274","0","0.795395815285623","3.63702302907043","9.31988017069154","9.31926652662138"
"simple_softskin_control","0.675","2776","6.11935666934785","9.58166723658652","-6.0811671317266","6.0811671317266","-9.58166712681143","0","0.812828401369556","3.72247325877691","9.52736141155235","9.52723348889385"
"simple_softskin_control","0.7","2776","6.44798710921781","10.115454108872","-6.40727088382369","6.40727088382369","-10.115454077733","0","0.857576447523803","3.91803525534656","10.0578922037935","10.0577584383616"
"simple_softskin_control","0.725","2776","6.9046966166129","10.8739643166067","-6.86003041831828","6.86003041831828","-10.8739643072257","0","0.920402219241252","4.1865400696755","10.8049558425637","10.8042762081853"
"simple_softskin_control","0.75","2776","7.36215358062238","11.6270080671413","-7.3131755950415","7.3131755950415","-11.6270080212765","0","0.9822588111625","4.44655198737159","11.5521196361876","11.5512841454855"
"simple_softskin_control","0.775","2776","7.70880749063816","12.1982717341335","-7.65713177912712","7.65713177912712","-12.1982716843406","0","1.02909756877787","4.64513067519525","12.1222786743641","12.1215707361809"
"simple_softskin_control","0.8","2776","7.89043584911156","12.4793901136822","-7.83856458377981","7.83856458377981","-12.4793899901892","0","1.05344175517427","4.74883439081167","12.4055293137672","12.4053481199186"
"simple_softskin_control","0.825","2776","7.93110431095509","12.4962104648205","-7.87967803811759","7.87967803811759","-12.4962103073497","0","1.05707137480061","4.79530965474713","12.4190301181144","12.4183135446143"
"simple_softskin_control","0.85","2776","7.94464473293734","12.4732846984343","-7.89349318550834","7.89349318550834","-12.4732845496139","0","1.05706503447146","4.83386083299879","12.3958924555408","12.3951283047783"
"simple_softskin_control","0.875","2776","8.05319083025446","12.6394318324462","-8.00199634765989","8.00199634765989","-12.639431694021","0","1.07169167130991","4.90056244784873","12.5615766186972","12.5608426924897"
"simple_softskin_control","0.9","2776","8.31468710234001","13.0604265705781","-8.26186622210745","8.26186622210745","-13.0604264915784","0","1.10644716078922","5.0470192251685","12.9825897093454","12.9820981795387"
"simple_softskin_control","0.925","2776","8.72813819633051","13.7229920493334","-8.6721372501047","8.6721372501047","-13.7229919883493","0","1.1617002825509","5.288241077155","13.6412198233572","13.6406859925265"
"simple_softskin_control","0.95","2776","9.20863238505532","14.5142325933461","-9.14869761202879","9.14869761202879","-14.5142325834277","0","1.22769035360224","5.57150097751935","14.4245307685957","14.4236907518543"
"simple_softskin_control","0.975","2776","9.6113165863498","15.195530216743","-9.54737659796726","9.54737659796726","-15.1955301759532","0","1.28344814861575","5.79920704952451","15.0968561780859","15.095832829109"
"simple_softskin_control","1","2776","9.83482390633778","15.5523416114367","-9.76902651856062","9.76902651856062","-15.5523414705165","0","1.31251631633144","5.93107218881935","15.4546491053563","15.4537296212218"
"simple_softskin_control","1.025","2776","9.88430863591198","15.605641255067","-9.81956408854821","9.81956408854821","-15.6056410557463","0","1.31814501850488","5.96084954233508","15.5113532731467","15.5111192394401"
"simple_softskin_control","1.05","2776","9.75908864474195","15.3889490738321","-9.69575264834762","9.69575264834762","-15.3889488987133","0","1.30177959975887","5.88998745567872","15.2942351176824","15.2933607003262"
"simple_softskin_control","1.075","2776","9.5130968972371","14.9860048676554","-9.45103584361057","9.45103584361057","-14.9860046499956","0","1.26797612692993","5.76225605379253","14.8926094985969","14.8916071500908"
