time_s,mean_delta_w_mm,mean_abs_delta_w_mm,p95_abs_delta_w_mm,p99_abs_delta_w_mm,max_abs_delta_w_mm,min_delta_w_mm,max_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_delta_vector_mm,p95_delta_vector_mm,max_delta_vector_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
0.375,1.0391540996587727e-15,1.065271321351685e-15,1.951563910473908e-15,2.8189256484623115e-15,3.469446951953614e-15,-1.8973538018496328e-15,3.469446951953614e-15,1.144606349218791e-15,2.4936649967166602e-15,4.336808689942018e-15,1.5264370420139106e-15,2.729281749709362e-15,4.400378471668106e-15,8.015263152695797e-14,3.2738967092882346e-13,3.66799213225022e-12
0.4,-4.207505422933193e-15,4.211269020514133e-15,6.5052130349130266e-15,6.938893903907228e-15,7.806255641895632e-15,-7.806255641895632e-15,1.6805133673525319e-15,4.3452119719517175e-15,6.5052130349130266e-15,8.673617379884035e-15,4.521935355497702e-15,6.74562115207565e-15,8.797792917195925e-15,1.2001368764216005e-13,4.697710664913751e-13,4.6218247007345785e-12
0.425,-3.270640050045946e-15,3.2773984343005555e-15,5.637851296924623e-15,6.071532165918825e-15,6.5052130349130266e-15,-6.5052130349130266e-15,1.9651164376299768e-15,3.455364749841083e-15,6.071532165918825e-15,7.806255641895632e-15,3.874303861468281e-15,6.518433913531867e-15,8.339551742533926e-15,1.2821845139417849e-13,5.616840326183592e-13,4.1343355405842885e-12
0.45,3.190764172645237e-15,3.1969414788885376e-15,4.9873299934333204e-15,5.637851296924623e-15,6.7220534694101275e-15,-2.019326546254252e-15,6.7220534694101275e-15,3.3111009589564786e-15,5.204170427930421e-15,7.589415207398531e-15,3.432158980585426e-15,5.413178489026746e-15,7.740142393627339e-15,9.774929854111394e-14,4.3459067455842147e-13,3.4160620998591183e-12
0.475,6.271351484515427e-15,6.2761565526858675e-15,1.0408340855860843e-14,1.1208482059155157e-14,1.235990476633475e-14,-2.1412992906588713e-15,1.235990476633475e-14,6.601797140054298e-15,1.1058862159352145e-14,1.3444106938820255e-14,6.995010199174575e-15,1.1982843778011194e-14,1.46981030892354e-14,1.9189143267629883e-13,7.531127721449581e-13,6.0640559240709994e-12
0.5,-1.1153010206676775e-15,1.2133869889766399e-15,2.8189256484623115e-15,3.469446951953614e-15,4.553649124439119e-15,-4.553649124439119e-15,3.0357660829594124e-15,1.3730962803849237e-15,3.2526065174565133e-15,5.637851296924623e-15,1.773220296387326e-15,4.295928919099223e-15,7.401826573687207e-15,1.0390295952851314e-13,4.3924046622123553e-13,4.076810000697151e-12
0.525,-6.322139937619264e-15,6.3290234771378476e-15,9.75781955236954e-15,1.0191500421363742e-14,1.1058862159352145e-14,-1.1058862159352145e-14,2.358139725155972e-15,6.616728610029511e-15,1.0191500421363742e-14,1.2576745200831851e-14,6.915653295305094e-15,1.0601971720378575e-14,1.2942968539699594e-14,1.4775800635794983e-13,5.83972337153682e-13,7.079506758600473e-12
0.55,-1.5148010931043403e-15,1.527852999204512e-15,3.469446951953614e-15,4.119968255444917e-15,5.204170427930421e-15,-5.204170427930421e-15,2.4530074152484538e-15,1.5949809190032724e-15,4.119968255444917e-15,6.071532165918825e-15,2.4437513538255877e-15,4.4437899046736715e-15,6.36570726696738e-15,1.6091359262357145e-13,6.571099220309382e-13,1.562966644996777e-11
0.575,5.1195140664289816e-15,5.1249851393969984e-15,7.589415207398531e-15,8.239936510889834e-15,9.107298248878237e-15,-2.5478751053409354e-15,9.107298248878237e-15,5.26453102381286e-15,8.239936510889834e-15,1.0191500421363742e-14,5.519042229540963e-15,8.22601326811352e-15,9.963015694021113e-15,1.1872644878370572e-13,4.914596729577168e-13,1.0352778190281241e-11
0.6,4.566274161692521e-15,4.5806044394175725e-15,7.589415207398531e-15,8.456776945386935e-15,9.974659986866641e-15,-3.266159044612582e-15,9.974659986866641e-15,4.8149487315476434e-15,8.239936510889834e-15,1.0842021724855044e-14,5.372577922883894e-15,8.684321857699472e-15,1.1163597586538979e-14,2.4014598811422694e-13,9.57157908487715e-13,1.1124484444735572e-11
0.625,-3.6271716384617345e-15,3.637318154505361e-15,5.637851296924623e-15,6.5052130349130266e-15,8.023096076392733e-15,-8.023096076392733e-15,2.859583229930518e-15,3.735249913649784e-15,5.854691731421724e-15,8.673617379884035e-15,3.8403715681569774e-15,5.882055904483143e-15,9.024487300220298e-15,1.2496592092992852e-13,5.048150342190632e-13,7.958533387864009e-12
0.65,-4.959795835358985e-15,4.970246299900835e-15,8.239936510889834e-15,8.673617379884035e-15,9.974659986866641e-15,-9.974659986866641e-15,2.9002408113987244e-15,5.258686719968348e-15,9.107298248878237e-15,1.0842021724855044e-14,5.990351212226806e-15,1.0094794006469967e-14,1.2166758138429919e-14,1.9064651352758633e-13,7.65154339887885e-13,1.109128788812086e-11
0.675,1.4852175175824268e-15,1.5366920897226934e-15,3.0357660829594124e-15,3.903127820947816e-15,4.7704895589362195e-15,-3.4423418976414766e-15,4.7704895589362195e-15,1.6637894952039727e-15,3.469446951953614e-15,5.637851296924623e-15,2.2408081212160695e-15,4.4109183697345986e-15,6.551143596313092e-15,1.818416305834675e-13,7.300741344806737e-13,9.252744348486886e-12
0.7,4.302116097751441e-15,4.3131923386131626e-15,6.938893903907228e-15,7.806255641895632e-15,8.673617379884035e-15,-3.2255014631443757e-15,8.673617379884035e-15,4.517803315887636e-15,7.806255641895632e-15,1.0408340855860843e-14,5.0521636388938906e-15,8.252514696622104e-15,1.0945417296886596e-14,1.3835220392376152e-13,5.713609141366759e-13,5.640686140395701e-12
0.725,3.2170892414729636e-15,3.233314727481054e-15,5.637851296924623e-15,6.5052130349130266e-15,9.540979117872439e-15,-3.3068166260807885e-15,9.540979117872439e-15,3.3450426195632096e-15,6.071532165918825e-15,9.540979117872439e-15,4.135991346856315e-15,6.804070768620905e-15,1.0322856382061758e-14,2.892256238083976e-13,1.2369071100692952e-12,1.5153858612393378e-11
0.75,-3.997903879507745e-15,4.0134320719022646e-15,6.5052130349130266e-15,6.938893903907228e-15,8.673617379884035e-15,-8.673617379884035e-15,3.550762114890027e-15,4.1495607706285425e-15,6.938893903907228e-15,9.974659986866641e-15,4.41221547400872e-15,7.240923950530807e-15,9.410881102576325e-15,1.7105885866390904e-13,6.975540145504052e-13,9.776158549357206e-12
0.775,-4.1980360862642835e-15,4.212464700268172e-15,6.938893903907228e-15,7.37257477290143e-15,9.107298248878237e-15,-9.107298248878237e-15,3.577867169202165e-15,4.324914470033608e-15,6.938893903907228e-15,9.974659986866641e-15,5.342962271404032e-15,8.139903311937162e-15,1.075720561043939e-14,2.3969629330337443e-13,1.0618123269523492e-12,1.054468157235533e-11
0.8,1.337762267466479e-15,1.3558740220958955e-15,2.6020852139652106e-15,3.469446951953614e-15,4.336808689942018e-15,-3.903127820947816e-15,4.336808689942018e-15,1.3538938870265887e-15,3.0357660829594124e-15,5.204170427930421e-15,1.6938496420056477e-15,3.175008667037655e-15,6.042566581379494e-15,1.674864128946234e-13,7.149807856876576e-13,5.458787200041115e-12
0.825,4.398286743538512e-15,4.413055064687473e-15,6.938893903907228e-15,7.806255641895632e-15,8.673617379884035e-15,-4.1470733097570545e-15,8.673617379884035e-15,4.671612430565705e-15,7.806255641895632e-15,9.974659986866641e-15,5.463060326091538e-15,8.510771149188191e-15,1.0609265894825669e-14,2.392491130451455e-13,1.0845496944966717e-12,1.3546923582907766e-11
0.85,1.293707614547543e-15,1.389022287725647e-15,3.0357660829594124e-15,3.469446951953614e-15,4.7704895589362195e-15,-4.174178364069192e-15,4.7704895589362195e-15,1.5869955661786297e-15,3.469446951953614e-15,6.071532165918825e-15,2.5958983881944636e-15,5.172689202133418e-15,7.806255641895632e-15,2.0105711291102496e-13,8.914810223359379e-13,8.592905942350626e-12
0.875,-2.9604092045543453e-15,3.014833865059719e-15,5.637851296924623e-15,7.37257477290143e-15,9.540979117872439e-15,-9.540979117872439e-15,4.1470733097570545e-15,3.2647912763705777e-15,6.938893903907228e-15,1.1709383462843448e-14,3.911490624820751e-15,7.184854885501835e-15,1.2122233655407495e-14,1.8020281016431472e-13,7.511403055104885e-13,7.759808795526624e-12
0.9,-6.958945565128246e-16,1.0622597728123046e-15,3.0357660829594124e-15,3.903127820947816e-15,5.637851296924623e-15,-5.637851296924623e-15,4.6349642873755315e-15,1.3642415454587455e-15,3.469446951953614e-15,6.938893903907228e-15,3.749631422156232e-15,6.576676814024194e-15,9.652177964500533e-15,3.235242153332269e-13,1.4760757949261447e-12,1.2660166248679161e-11
0.925,1.0804877430439828e-15,1.3369755772357838e-15,3.0357660829594124e-15,3.903127820947816e-15,4.824699667560495e-15,-4.4181238528784306e-15,4.824699667560495e-15,1.5327318195840798e-15,3.469446951953614e-15,6.071532165918825e-15,2.4796549346308307e-15,5.46977685697766e-15,8.64324040685167e-15,1.9451621081959387e-13,7.520270628447153e-13,9.499672160018236e-12
0.95,1.8019676113778292e-15,1.877454114877727e-15,4.336808689942018e-15,5.637851296924623e-15,9.107298248878237e-15,-5.095750210681871e-15,9.107298248878237e-15,2.01884380452178e-15,5.204170427930421e-15,1.1275702593849246e-14,3.863454015655233e-15,7.190113636015589e-15,1.1163071088668686e-14,2.8103112566473667e-13,1.138954530688348e-12,1.3142198440618812e-11
0.975,1.0262016472951518e-15,1.674845621826841e-15,4.336808689942018e-15,6.071532165918825e-15,1.1709383462843448e-14,-1.1709383462843448e-14,6.938893903907228e-15,2.0233985621642714e-15,5.421010862427522e-15,1.3444106938820255e-14,3.3359396426538117e-15,6.71833501664309e-15,1.3374442420100988e-14,2.216064822119004e-13,9.5310497272294e-13,1.55514499056153e-11
