roi,time_s,n_points,mean_abs_delta_w_mm,p95_abs_delta_w_mm,max_abs_delta_w_mm,mean_abs_delta_disp_mag_mm,p95_abs_delta_disp_mag_mm,max_abs_delta_disp_mag_mm,mean_abs_delta_vm_kpa,p95_abs_delta_vm_kpa,max_abs_delta_vm_kpa
central_xz_radius_25mm,0.55,971,1.72914056056751e-15,2.6020852139652106e-15,3.2526065174565133e-15,1.709265381710412e-15,2.6020852139652106e-15,3.469446951953614e-15,3.843343293236096e-13,1.4853185348329136e-12,1.562966644996777e-11
central_xz_radius_25mm,0.575,971,6.784582121994255e-15,7.37257477290143e-15,8.239936510889834e-15,6.742375281499969e-15,7.37257477290143e-15,8.239936510889834e-15,2.705090126037286e-13,9.159180081041995e-13,1.0352778190281241e-11
central_xz_radius_25mm,0.6,971,6.678730045833982e-15,8.023096076392733e-15,9.974659986866641e-15,6.726296485121193e-15,8.239936510889834e-15,9.75781955236954e-15,5.810898913897448e-13,2.2909034669282846e-12,1.1124484444735572e-11
central_xz_radius_25mm,0.625,971,5.000059040566518e-15,5.637851296924623e-15,6.7220534694101275e-15,4.9647750151797596e-15,5.637851296924623e-15,6.5052130349130266e-15,2.9257142309019077e-13,9.857785698841325e-13,7.958533387864009e-12
central_xz_radius_25mm,0.65,971,7.46614443516125e-15,8.673617379884035e-15,9.974659986866641e-15,7.601250988066241e-15,8.890457814381136e-15,1.0408340855860843e-14,4.56055115402207e-13,1.7982273448069464e-12,1.109128788812086e-11
central_xz_radius_25mm,0.675,971,2.3023943147941404e-15,3.2526065174565133e-15,4.336808689942018e-15,2.3544270864087896e-15,3.469446951953614e-15,5.204170427930421e-15,4.3286978395824393e-13,1.7113421790782015e-12,9.252744348486886e-12
central_xz_radius_25mm,0.7,971,6.274973603433613e-15,6.938893903907228e-15,7.806255641895632e-15,6.280333202226538e-15,6.938893903907228e-15,8.239936510889834e-15,3.2020105665237494e-13,1.1627889762166887e-12,5.640686140395701e-12
central_xz_radius_25mm,0.725,971,4.549406108728053e-15,6.071532165918825e-15,9.540979117872439e-15,4.540920077305921e-15,6.071532165918825e-15,9.540979117872439e-15,6.997421642004357e-13,2.541526100685587e-12,1.5153858612393378e-11
central_xz_radius_25mm,0.75,971,5.83414660271551e-15,6.938893903907228e-15,8.239936510889834e-15,5.865187612391203e-15,6.938893903907228e-15,8.239936510889834e-15,4.1059748163563545e-13,1.4381384971784428e-12,9.776158549357206e-12
central_xz_radius_25mm,0.775,971,5.7541992540543755e-15,6.938893903907228e-15,9.107298248878237e-15,5.704622965219817e-15,6.938893903907228e-15,9.107298248878237e-15,5.780043943184913e-13,2.186880010413006e-12,1.054468157235533e-11
central_xz_radius_25mm,0.8,971,1.6520963279192094e-15,2.6020852139652106e-15,3.469446951953614e-15,1.5770619448182558e-15,2.6020852139652106e-15,3.469446951953614e-15,4.020837014981746e-13,1.6108145928228623e-12,5.458787200041115e-12
central_xz_radius_25mm,0.825,971,6.049200504281636e-15,7.37257477290143e-15,8.673617379884035e-15,6.126021420313565e-15,7.37257477290143e-15,8.673617379884035e-15,5.74531713656179e-13,2.1670132355211537e-12,1.3546923582907766e-11
central_xz_radius_25mm,0.85,971,2.1978821383320977e-15,3.0357660829594124e-15,4.336808689942018e-15,2.2291464646241616e-15,3.469446951953614e-15,4.7704895589362195e-15,4.9993778106914e-13,1.941948823969142e-12,8.592905942350626e-12
central_xz_radius_25mm,0.875,971,4.264007473004783e-15,5.204170427930421e-15,6.071532165918825e-15,4.302417931020747e-15,5.204170427930421e-15,6.071532165918825e-15,4.2798547221385126e-13,1.5948558029776906e-12,7.759808795526624e-12
central_xz_radius_25mm,0.9,971,1.1674992703922178e-15,2.6020852139652106e-15,4.336808689942018e-15,1.2349408885365273e-15,2.6020852139652106e-15,4.336808689942018e-15,7.973677797677637e-13,3.054992703255266e-12,1.2660166248679161e-11
central_xz_radius_25mm,0.925,971,1.732936943045832e-15,3.0357660829594124e-15,4.336808689942018e-15,1.8432553515335436e-15,3.0357660829594124e-15,4.7704895589362195e-15,4.604342100403215e-13,1.6940475688898004e-12,9.499672160018236e-12
central_xz_radius_25mm,0.95,971,1.8964047062300524e-15,3.469446951953614e-15,4.7704895589362195e-15,1.840575552137081e-15,3.469446951953614e-15,4.7704895589362195e-15,6.744318855534945e-13,2.3882194000179877e-12,1.3142198440618812e-11
central_xz_radius_25mm,0.975,971,1.9843914530805752e-15,3.0357660829594124e-15,4.7704895589362195e-15,1.9879645189425253e-15,3.469446951953614e-15,4.7704895589362195e-15,5.329665149536569e-13,2.1394299665189466e-12,1.55514499056153e-11
central_xz_radius_25mm,1.0,971,4.293485266365872e-15,5.637851296924623e-15,6.938893903907228e-15,4.195225955162242e-15,5.637851296924623e-15,6.938893903907228e-15,6.739265733179109e-13,2.55158738582395e-12,1.3667886378243566e-11
central_xz_radius_25mm,1.025,971,1.1217640273592555e-14,1.3010426069826053e-14,1.3877787807814457e-14,1.1400759899017502e-14,1.3010426069826053e-14,1.6046192152785466e-14,6.05403983267039e-13,2.3779875846230427e-12,7.2332113632000985e-12
central_xz_radius_25mm,1.05,971,5.6686689899839436e-15,6.938893903907228e-15,8.239936510889834e-15,5.694573717483082e-15,6.938893903907228e-15,9.540979117872439e-15,6.106222208266835e-13,2.2531594368047084e-12,1.5115801943466068e-11
central_xz_radius_25mm,1.075,971,9.733924674417747e-15,1.0842021724855044e-14,1.2576745200831851e-14,9.812085490147908e-15,1.1275702593849246e-14,1.3010426069826053e-14,6.005626772863752e-13,2.313299773959443e-12,1.5289515431504697e-11
central_xz_radius_25mm,1.1,971,7.186775348080022e-15,9.107298248878237e-15,1.214306433183765e-14,7.210000276182697e-15,9.540979117872439e-15,1.214306433183765e-14,9.166278483466266e-13,3.837996587208181e-12,1.7596903489902615e-11
central_xz_radius_25mm,1.125,971,1.050034730180606e-15,2.6020852139652106e-15,3.903127820947816e-15,1.104523984575346e-15,2.6020852139652106e-15,5.637851296924623e-15,8.255897030213221e-13,3.0020146368769927e-12,1.5197656466625632e-11
central_xz_radius_25mm,1.15,971,5.711545780327345e-15,8.239936510889834e-15,1.0842021724855044e-14,5.8888591737266225e-15,8.673617379884035e-15,1.0842021724855044e-14,9.176217446953023e-13,3.637637746578548e-12,1.6369995137210934e-11
central_xz_radius_25mm,1.175,971,3.580658626906813e-15,5.637851296924623e-15,7.806255641895632e-15,3.4261235283774684e-15,5.637851296924623e-15,8.239936510889834e-15,9.850967415633584e-13,4.142975740251131e-12,1.5118985174922273e-11
central_xz_radius_25mm,1.2,971,1.4941221534977375e-14,1.691355389077387e-14,2.0383000842727483e-14,1.5024295316267718e-14,1.691355389077387e-14,2.0816681711721685e-14,9.018697366897507e-13,3.3521700970595703e-12,1.5778823581058532e-11
central_xz_radius_25mm,1.205,971,1.2340476220710396e-15,2.6020852139652106e-15,5.204170427930421e-15,1.2961296414224238e-15,2.6020852139652106e-15,6.938893903907228e-15,4.880040145869796e-13,1.873331711976789e-12,1.048283593263477e-11
central_xz_radius_25mm,1.21,971,8.198399620244664e-15,9.540979117872439e-15,1.214306433183765e-14,8.268521037785436e-15,9.974659986866641e-15,1.431146867680866e-14,6.397356227550791e-13,2.5104327505687253e-12,1.3588760339189321e-11
central_xz_radius_25mm,1.215,971,5.513687258221855e-15,7.37257477290143e-15,9.540979117872439e-15,5.494928662446616e-15,7.37257477290143e-15,9.540979117872439e-15,7.022541193711392e-13,2.7559252657738395e-12,9.377799869980663e-12
central_xz_radius_25mm,1.22,971,1.1800050009090434e-15,2.168404344971009e-15,3.469446951953614e-15,1.2175221924595201e-15,2.6020852139652106e-15,4.336808689942018e-15,4.08946088115479e-13,1.4471197573584504e-12,1.0550138540565967e-11
central_xz_radius_25mm,1.225,971,2.6757796973679328e-15,4.336808689942018e-15,6.5052130349130266e-15,2.693645026677684e-15,4.7704895589362195e-15,6.938893903907228e-15,8.854035124937182e-13,3.208015186828561e-12,1.623538992134854e-11
central_xz_radius_25mm,1.23,971,3.706609198540557e-15,5.204170427930421e-15,6.938893903907228e-15,3.726261060781283e-15,5.204170427930421e-15,6.938893903907228e-15,5.270550920976882e-13,2.0277184376027433e-12,1.0394614946562797e-11
central_xz_radius_25mm,1.235,971,3.74367975685829e-15,5.204170427930421e-15,6.071532165918825e-15,3.790576246296386e-15,5.204170427930421e-15,6.5052130349130266e-15,5.210549062820412e-13,1.881517164292745e-12,8.862116374075413e-12
