stage,case_key,case_label,result_mph_exists,result_mph,metrics_json_exists,time_series_csv_exists,postprocess_completed,image_export_completed,image_png_count,expected_image_png_count,legacy_cooper_image_png_count,output_dir
tier1_comparison_without_stage1,tier1_stage2_xoffset055,Stage 2 xoffset055 chestwall,True,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2
tier1_comparison_without_stage1,tier1_stage3_realistic_ref,Stage 3 realistic glandular,True,runs/comsol_runs/geometry_stage3/outputs/output_stage3_glandular_realistic_spread_reference_xoffset055_preview/solve/stage3_glandular_realistic_spread_reference_xoffset055_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage3/outputs/output_stage3_glandular_realistic_spread_reference_xoffset055_preview
tier1_comparison_without_stage1,tier1_stage4_realistic_ref,Stage 4 realistic reference,True,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_reference_xoffset055_preview/solve/stage4_realistic_reference_xoffset055_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_reference_xoffset055_preview
tier1_comparison_without_stage1,tier1_stage5_no_cooper,Stage 5 no-Cooper control,True,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_025g_preview/solve/stage5_reference_no_cooper_xoffset055_025g_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_025g_preview
