case_label,last_output_time_s,solve_reached_expected_end,breast_volume_ml,glandular_fraction_pct,review_avg_displacement_mm,review_surface_signed_w_from_dynamic_start_mm,review_nipple_w_from_dynamic_start_mm,review_breast_vm_avg_kpa,review_breast_vm_max_kpa,review_gland_vm_avg_kpa,review_adipose_vm_avg_kpa
Stage 1 0.25g baseline,2.2,True,718.715326689261,11.944043159421863,17.758444356172202,-1.1285604072294717,,0.4329813792341324,10.732700833346115,0.7125991393172011,0.3950536033697545
Stage 2 xoffset055 chestwall,2.2,True,585.0595467901184,9.162464002452129,3.032620419076791,0.13294909435788105,,0.3112697328599515,1.347570570782896,0.6870069800801172,0.27337043314614007
Stage 3 realistic glandular,2.2,True,585.0874087442118,24.308490169459304,2.9976302278625835,0.161071293852606,,0.3242587590632507,1.673571351948651,0.45060710972489115,0.2836817161840392
Stage 4 realistic reference,2.2,True,585.0873776303794,24.308500026714203,2.9971305206090144,0.1611859074890969,,0.32422879905350976,1.6331861822817948,0.45064834162980416,0.28362887098788675
Stage 5 no-Cooper control,2.2,True,585.0873718414647,24.308511851409225,2.997765699983465,0.16097794178263847,,0.32427417034937145,1.614779199169152,0.4507290503274836,0.2836628674961062
