"time_s","avg_displacement_mm","avg_vm_kpa"
"0","0","0"
"0.025","0.020405","0.001817"
"0.05","0.117597","0.012465"
"0.075","0.261153","0.028537"
"0.1","0.364827","0.040185"
"0.125","0.395477","0.042946"
"0.15","0.4125","0.044294"
"0.175","0.49394","0.053293"
"0.2","0.636616","0.069273"
"0.225","0.752802","0.082065"
"0.25","0.789786","0.085891"
"0.275","0.802463","0.086739"
"0.3","0.875483","0.094519"
"0.325","1.011659","0.109866"
"0.35","1.135237","0.1237"
"0.375","1.185867","0.128834"
"0.4","1.196076","0.129435"
"0.425","1.254618","0.135777"
"0.45","1.387081","0.150452"
"0.475","1.518999","0.165189"
"0.5","1.578105","0.171575"
"0.525","1.590034","0.172314"
"0.55","1.638927","0.177268"
"0.575","1.760356","0.190968"
"0.6","1.897378","0.206237"
"0.625","1.973969","0.214528"
"0.65","1.986957","0.215396"
"0.675","2.022339","0.219084"
"0.7","2.134736","0.231284"
"0.725","2.276471","0.247362"
"0.75","2.363687","0.256873"
"0.775","2.384806","0.258787"
"0.8","2.411827","0.26108"
"0.825","2.506691","0.271804"
"0.85","2.651056","0.287822"
"0.875","2.754422","0.299317"
"0.9","2.782655","0.301927"
"0.925","2.798813","0.303364"
"0.95","2.885113","0.312534"
"0.975","3.025503","0.328443"
"1","3.139072","0.341096"
"1.025","3.160375","0.34344"
"1.05","3.077089","0.333796"
"1.075","3.002687","0.325192"
"1.1","3.033272","0.328681"
"1.125","3.128047","0.339619"
"1.15","3.161435","0.343856"
"1.175","3.095118","0.335778"
"1.2","3.012298","0.326268"
"1.2","3.012298","0.326268"
"1.205","3.004047","0.325248"
"1.21","3.001543","0.324902"
"1.215","3.001701","0.324867"
"1.22","3.00911","0.32576"
"1.225","3.017968","0.326838"
"1.23","3.03341","0.328758"
"1.235","3.049782","0.330779"
"1.24","3.069362","0.333145"
"1.245","3.089132","0.33548"
"1.25","3.109183","0.33777"
"1.255","3.133194","0.34023"
"1.26","3.166984","0.343318"
"1.265","3.221538","0.348034"
"1.27","3.305107","0.355413"
"1.275","3.427094","0.366901"
"1.28","3.591017","0.383419"
"1.285","3.79496","0.405048"
