stage,case_key,case_label,result_mph_exists,result_mph,metrics_json_exists,time_series_csv_exists,postprocess_completed,image_export_completed,image_png_count,expected_image_png_count,legacy_cooper_image_png_count,output_dir
stage4_asymmetry,stage4_realistic_reference_xoffset055_025g,Realistic reference xoffset055 0.25g,True,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_reference_xoffset055_preview/solve/stage4_realistic_reference_xoffset055_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_reference_xoffset055_preview
stage4_asymmetry,stage4_realistic_profile_asym_xoffset055_partial,Realistic profile asym. xoffset055 partial,True,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_profile_asym_xoffset055_preview/solve/stage4_realistic_profile_asym_xoffset055_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_profile_asym_xoffset055_preview
stage4_asymmetry,stage4_realistic_nipple_lateral_xoffset055_025g,Realistic nipple lateral xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_nipple_lateral_xoffset055_preview
stage4_asymmetry,stage4_realistic_nipple_superior_xoffset055_025g,Realistic nipple superior xoffset055 0.25g,False,,False,False,False,False,0,0,0,runs/comsol_runs/geometry_stage4/outputs/output_stage4_realistic_nipple_superior_xoffset055_preview
