stage,case_key,case_label,result_mph_exists,result_mph,metrics_json_exists,time_series_csv_exists,postprocess_completed,image_export_completed,image_png_count,expected_image_png_count,legacy_cooper_image_png_count,output_dir
stage5_dynamic_amplitude_scout,stage5_no_cooper_xoffset055_025g,No Cooper xoffset055 0.25g,True,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_025g_preview/solve/stage5_reference_no_cooper_xoffset055_025g_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_025g_preview
stage5_dynamic_amplitude_scout,stage5_no_cooper_xoffset055_050g,No Cooper xoffset055 0.50g,True,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_050g_preview/solve/stage5_reference_no_cooper_xoffset055_050g_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_050g_preview
stage5_dynamic_amplitude_scout,stage5_no_cooper_xoffset055_075g,No Cooper xoffset055 0.75g,True,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_075g_preview/solve/stage5_reference_no_cooper_xoffset055_075g_preview_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage5/outputs/output_stage5_reference_no_cooper_xoffset055_075g_preview
