"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa","P95DispMm","P95AbsWMm"
"stage5_soft_interior","0","3032","3.93421133889435E-13","4.17827520000002E-13","-3.9341756302487E-13","3.9341756302487E-13","-4.17827520000002E-13","0","1.05459204356047E-11","2.6822575809971E-10","4.1782752E-13","4.1782752E-13"
"stage5_soft_interior","0.025","3032","0.0165447461169474","0.023669548687802","-0.0161011994654084","0.0161011994654084","-0.0223844543640346","0","0.0582462696005122","0.294832080106545","0.0216636226893053","0.0211193334498567"
"stage5_soft_interior","0.05","3032","0.0897970303864795","0.128869494451484","-0.0868028899696981","0.0868028899696981","-0.127175562049311","0","0.317417603725498","1.14946031411454","0.123948576058324","0.119544401572021"
"stage5_soft_interior","0.075","3032","0.185277715859661","0.272756011472233","-0.178665532101391","0.178665532101391","-0.272756006855094","0","0.66284692719834","2.17164395087221","0.261890831730174","0.252273025423268"
"stage5_soft_interior","0.1","3032","0.237104433318662","0.348026653716855","-0.228723931305824","0.228723931305824","-0.348026643915653","0","0.847706592242091","2.82112727377685","0.333476296802599","0.321892768993468"
"stage5_soft_interior","0.125","3032","0.247199107402658","0.357799587388109","-0.238752989518454","0.238752989518454","-0.35779958073459","0","0.878749013000008","3.06389702360752","0.344313303310038","0.332496229449673"
"stage5_soft_interior","0.15","3032","0.279807195334821","0.40264010081773","-0.270290917002032","0.270290917002032","-0.402640098438923","0","0.995996118289864","3.49916832500421","0.389282790625181","0.376032874410072"
"stage5_soft_interior","0.175","3032","0.365467446020142","0.532426823918593","-0.352809875688035","0.352809875688035","-0.532426813470515","0","1.30257757585843","4.46084763734102","0.510988845006461","0.493487081471164"
"stage5_soft_interior","0.2","3032","0.453757212074395","0.66351271174146","-0.437883706857875","0.437883706857875","-0.663512703386358","0","1.6188025603042","5.45432945187054","0.636252491358337","0.614436179859138"
"stage5_soft_interior","0.225","3032","0.488604031318433","0.710743156034171","-0.471563420102986","0.471563420102986","-0.710743138966921","0","1.74328992819367","5.90606772416076","0.684947568646889","0.660596676892564"
"stage5_soft_interior","0.25","3032","0.495925214139859","0.719366684043723","-0.478882310909958","0.478882310909958","-0.719366672399487","0","1.76624927861116","6.1198985683203","0.692320042454931","0.6683732808749"
"stage5_soft_interior","0.275","3032","0.547821083364697","0.794659635626737","-0.52908765751283","0.52908765751283","-0.794659625864629","0","1.94920192133129","6.78314070563717","0.763260262354805","0.737578564192887"
"stage5_soft_interior","0.3","3032","0.643561565433388","0.935873446882936","-0.621131309962305","0.621131309962305","-0.935873432825878","0","2.29576701243119","7.79151101496752","0.902064283767317","0.869811978830113"
"stage5_soft_interior","0.325","3032","0.71584777361441","1.0451180546913","-0.690860219462031","0.690860219462031","-1.04511803784622","0","2.55453017800313","8.64375456180058","1.00303368019656","0.968869311252426"
"stage5_soft_interior","0.35","3032","0.734549538970966","1.06950244442347","-0.709159426688776","0.709159426688776","-1.06950242508604","0","2.61648379581332","8.97171343199296","1.02687776528684","0.991265495496192"
"stage5_soft_interior","0.375","3032","0.751749555074816","1.0882263723199","-0.725874047908104","0.725874047908104","-1.08822634972583","0","2.67801914244416","9.25248801325645","1.05017388676923","1.01315208811789"
"stage5_soft_interior","0.4","3032","0.821655834048838","1.19425411264131","-0.793284108335533","0.793284108335533","-1.19425409885404","0","2.9287254008569","10.0638319221218","1.14829435631126","1.10896466858136"
"stage5_soft_interior","0.425","3032","0.916760705693284","1.33583731540693","-0.88493166439757","0.88493166439757","-1.33583729860226","0","3.26641934512196","11.1355238234352","1.28308066318441","1.23874623449714"
