"Case","Nodes","PeakMeanDispMm","PeakMeanDispTimeS","PeakMaxDispMm","PeakMaxDispTimeS","PeakMeanAbsWMm","PeakMeanAbsWTimeS","MostNegativeWMm","MostNegativeWTimeS","ReviewMeanDispMm","ReviewMaxDispMm","ReviewMeanWMm","ReviewMinWMm","PeakMaxVmKpa","PeakMaxVmTimeS"
"stage5_soft_interior","3032","4.88726453148103","1.445","7.15820254372286","1.445","4.71602768742698","1.445","-7.15820245093311","1.445","4.57715191548099","6.64595826917772","-4.41948786837357","-6.6459581465455","58.5863759825153","1.445"
"full_gland_088kPa","3032","13.8206851480318","1.38","20.793095050211","1.38","13.5956566110493","1.38","-20.793094766432","1.38","13.7794625457229","20.7582251903492","-13.5542034678685","-20.7582249173278","37.626521050594","1.38"
