"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"softskin","1.26","2776","9.766389","15.373566","-9.703435","9.703435","-15.373566","0","1.301271","5.922784"
"softskin","1.265","2776","9.764464","15.336939","-9.702362","9.702362","-15.336939","0","1.299653","5.950182"
"softskin","1.27","2776","9.797005","15.342644","-9.735852","9.735852","-15.342644","0","1.302016","6.012178"
"softskin","1.275","2776","9.879507","15.412117","-9.81932","9.81932","-15.412117","0","1.310201","6.112338"
"softskin","1.28","2776","10.033622","15.577384","-9.974245","9.974245","-15.577383","0","1.327149","6.255738"
"softskin","1.285","2776","10.256802","15.838975","-10.197932","10.197932","-15.838975","0","1.352852","6.439125"
"softskin","1.29","2776","10.555302","16.209253","-10.496506","10.496506","-16.209252","0","1.388354","6.66365"
"softskin","1.295","2776","10.934432","16.700052","-10.875158","10.875158","-16.700052","0","1.434604","6.930021"
"softskin","1.3","2776","11.398561","17.322711","-11.338147","11.338147","-17.322711","0","1.492452","7.238776"
"softskin","1.305","2776","11.975975","18.132362","-11.913427","11.913427","-18.132361","0","1.566269","7.602475"
"softskin","1.31","2776","12.640672","19.096062","-12.575134","12.575134","-19.096062","0","1.652785","8.007209"
"softskin","1.315","2776","13.398902","20.233989","-13.329385","13.329385","-20.233989","0","1.753192","8.454834"
"softskin","1.32","2776","14.244934","21.5459","-14.170397","14.170397","-21.5459","0","1.866928","8.941241"
"softskin","1.325","2776","15.170694","23.025866","-15.090041","15.090041","-23.025865","0","1.992977","9.461769"
"softskin","1.33","2776","16.164474","24.658964","-16.076572","16.076572","-24.658964","0","2.129665","10.011215"
"softskin","1.335","2776","17.211546","26.421509","-17.115255","17.115255","-26.421509","0","2.274746","10.584079"
"softskin","1.34","2776","18.295289","28.282779","-18.189504","18.189504","-28.282779","0","2.425603","11.174207"
"softskin","1.345","2776","19.398392","30.207673","-19.282105","19.282105","-30.207673","0","2.579509","11.773809"
"softskin","1.35","2776","20.50224","32.158002","-20.374579","20.374579","-32.158002","0","2.733647","12.372695"
"softskin","1.355","2776","21.586663","34.089377","-21.447062","21.447062","-34.089377","0","2.885157","12.960413"
"softskin","1.36","2776","22.634837","35.964451","-22.483046","22.483046","-35.964451","0","3.03168","13.528662"
"softskin","1.365","2776","23.630214","37.747876","-23.466292","23.466292","-37.747876","0","3.17081","14.068461"
"softskin","1.37","2776","24.556743","39.4059","-24.381082","24.381082","-39.4059","0","3.300178","14.570728"
"softskin","1.375","2776","25.399173","40.907408","-25.212512","25.212512","-40.907408","0","3.4175","15.026967"
"softskin","1.38","2776","26.143403","42.225711","-25.946827","25.946827","-42.225711","0","3.520641","15.429794"
"softskin","1.385","2776","26.77686","43.331755","-26.571787","26.571787","-43.331755","0","3.607768","15.773238"
"softskin","1.39","2776","27.288853","44.206696","-27.076998","27.076998","-44.206696","0","3.677565","16.05263"
"softskin","1.395","2776","27.670789","44.843171","-27.454111","27.454111","-44.843171","0","3.729373","16.263995"
"softskin","1.4","2776","27.912188","45.231256","-27.692886","27.692886","-45.231256","0","3.762471","16.401758"
"softskin","1.405","2776","27.998978","45.348609","-27.779502","27.779502","-45.348609","0","3.775201","16.458121"
"softskin","1.41","2776","27.94845","45.223381","-27.730945","27.730945","-45.223381","0","3.769281","16.441576"
"softskin","1.415","2776","27.75016","44.83281","-27.536844","27.536844","-44.83281","0","3.742517","16.345633"
"softskin","1.42","2776","27.406369","44.181157","-27.199261","27.199261","-44.181156","0","3.69491","16.169792"
"softskin","1.425","2776","26.920451","43.282183","-26.721293","26.721293","-43.282183","0","3.62724","15.913886"
"softskin","1.43","2776","26.29798","42.155385","-26.108156","26.108156","-42.155384","0","3.540558","15.57993"
"softskin","1.435","2776","25.546857","40.819718","-25.367336","25.367336","-40.819717","0","3.435855","15.171884"
"softskin","1.44","2776","24.677575","39.294951","-24.508888","24.508888","-39.294951","0","3.314488","14.694675"
"softskin","1.445","2776","23.703423","37.606772","-23.545676","23.545676","-37.606772","0","3.17847","14.154909"
"softskin","1.45","2776","22.640464","35.787236","-22.493403","22.493403","-35.787236","0","3.030145","13.561684"
"softskin","1.455","2776","21.507445","33.871756","-21.370556","21.370556","-33.871755","0","2.872003","12.925951"
"softskin","1.46","2776","20.325693","31.898312","-20.198317","20.198317","-31.898312","0","2.707115","12.259584"
"softskin","1.465","2776","19.118493","29.907361","-18.999943","18.999943","-29.90736","0","2.539333","11.574601"
"softskin","1.47","2776","17.909485","27.939033","-17.79916","17.79916","-27.939032","0","2.372634","10.882837"
"softskin","1.475","2776","16.7206","26.023758","-16.618058","16.618058","-26.023757","0","2.210347","10.196562"
"softskin","1.48","2776","15.570574","24.186333","-15.475572","15.475572","-24.186332","0","2.054948","9.528809"
"softskin","1.485","2776","14.474593","22.444694","-14.387049","14.387049","-22.444693","0","1.908169","8.892068"
"softskin","1.49","2776","13.444709","20.809494","-13.364601","13.364601","-20.809492","0","1.771113","8.295815"
"softskin","1.495","2776","12.490493","19.290107","-12.417722","12.417722","-19.290106","0","1.644482","7.745613"
"softskin","1.5","2776","11.61956","17.894988","-11.553844","11.553844","-17.894988","0","1.528916","7.245189"
"softskin","1.505","2776","10.837762","16.631784","-10.778593","10.778593","-16.631784","0","1.425123","6.798608"
"softskin","1.51","2776","10.149014","15.507146","-10.095666","10.095666","-15.507146","0","1.33374","6.409843"
"softskin","1.515","2776","9.55492","14.525988","-9.506483","9.506483","-14.525988","0","1.255075","6.080966"
"softskin","1.52","2776","9.054554","13.690588","-9.009978","9.009978","-13.690587","0","1.188954","5.81046"
"softskin","1.525","2776","8.644688","13.000717","-8.602857","8.602857","-13.000717","0","1.134785","5.59211"
"softskin","1.53","2776","8.320381","12.454497","-8.280208","8.280208","-12.454466","0","1.091791","5.415627"
"softskin","1.535","2776","8.075448","12.049149","-8.035971","8.035971","-12.049149","0","1.059137","5.268921"
"softskin","1.54","2776","7.902528","11.778948","-7.862969","7.862969","-11.778948","0","1.035907","5.140976"
"softskin","1.545","2776","7.792955","11.634184","-7.752712","7.752712","-11.634184","0","1.021129","5.024598"
"softskin","1.55","2776","7.73671","11.602009","-7.69531","7.69531","-11.602008","0","1.013819","4.917743"
"softskin","1.555","2776","7.722509","11.665776","-7.679542","7.679542","-11.665775","0","1.012906","4.822816"
"softskin","1.56","2776","7.737972","11.804966","-7.693056","7.693056","-11.804965","0","1.017111","4.743716"
"softskin","1.565","2776","7.770119","11.999436","-7.722895","7.722895","-11.999435","0","1.02499","4.681452"
"softskin","1.57","2776","7.804229","12.218542","-7.754396","7.754396","-12.218542","0","1.034628","4.628733"
"softskin","1.575","2776","7.826827","12.433204","-7.774151","7.774151","-12.433204","0","1.044161","4.574934"
"softskin","1.58","2776","7.824396","12.618093","-7.76872","7.76872","-12.618093","0","1.051559","4.510503"
"softskin","1.585","2776","7.78307","12.741426","-7.724303","7.724303","-12.741426","0","1.054595","4.429142"
"softskin","1.59","2776","7.688552","12.774363","-7.626673","7.626673","-12.774363","0","1.050736","4.326103"
"softskin","1.595","2776","7.52665","12.672557","-7.46174","7.46174","-12.672557","0","1.037132","4.196056"
"softskin","1.6","2776","7.284598","12.402819","-7.216932","7.216932","-12.402819","0","1.010955","4.03354"
"softskin","1.605","2776","6.95002","11.935728","-6.880208","6.880208","-11.935728","0","0.969588","3.833186"
"softskin","1.61","2776","6.513975","11.253658","-6.443087","6.443087","-11.253657","0","0.911549","3.589554"
"softskin","1.615","2776","5.982739","10.375723","-5.91213","5.91213","-10.375722","0","0.838537","3.301068"
"softskin","1.62","2776","5.360118","9.317707","-5.29144","5.29144","-9.317707","0","0.752087","2.964213"
"softskin","1.625","2776","4.652213","8.099108","-4.587321","4.587321","-8.099107","0","0.653899","2.577743"
"softskin","1.63","2776","3.866474","6.751677","-3.807321","3.807321","-6.751676","0","0.545344","2.143529"
"softskin","1.635","2776","3.0114","5.284769","-2.959872","2.959872","-5.284766","0","0.427446","1.666373"
"softskin","1.64","2776","2.096839","3.712625","-2.054389","2.054389","-3.712621","0","0.3013","1.153313"
"softskin","1.645","2776","1.135376","2.056937","-1.101484","1.101516","-2.056931","0.006262","0.169083","0.612736"
"softskin","1.65","2776","0.180594","0.486137","-0.11122","0.128226","-0.334403","0.114943","0.043794","0.11678"
"softskin","1.655","2776","0.909129","1.581511","0.899841","0.899841","0","1.527107","0.124827","0.51839"
"softskin","1.66","2776","1.935817","3.264685","1.916626","1.916626","0","3.264681","0.264862","1.090663"
"softskin","1.665","2776","2.955471","4.999859","2.923996","2.923996","0","4.999856","0.406199","1.656834"
"softskin","1.67","2776","3.946076","6.686284","3.902712","3.902712","0","6.686282","0.54402","2.206459"
"softskin","1.675","2776","4.894682","8.299448","4.840428","4.840428","0","8.299447","0.676117","2.733226"
