"Case","TimeS","Nodes","MeanDispMm","MaxDispMm","MeanWMm","MeanAbsWMm","MinWMm","MaxWMm","MeanVmKpa","MaxVmKpa"
"skin88","1.215","2776","4.936339","7.768479","-4.851555","4.851555","-7.768479","0","3.484469","13.733016"
"skin88","1.22","2776","4.94644","7.786383","-4.861387","4.861387","-7.786383","0","3.49176","13.753209"
"skin88","1.225","2776","4.953211","7.799135","-4.867925","4.867925","-7.799135","0","3.49671","13.766586"
"skin88","1.23","2776","4.958219","7.809108","-4.872727","4.872727","-7.809108","0","3.500428","13.776318"
"skin88","1.235","2776","4.959847","7.813677","-4.874216","4.874216","-7.813677","0","3.501803","13.779008"
"skin88","1.24","2776","4.958929","7.814008","-4.873237","4.873237","-7.814008","0","3.501439","13.775948"
"skin88","1.245","2776","4.956354","7.811559","-4.870653","4.870653","-7.811559","0","3.499939","13.769128"
"skin88","1.25","2776","4.950302","7.802926","-4.864726","4.864726","-7.802926","0","3.496011","13.754122"
"skin88","1.255","2776","4.94687","7.796318","-4.861503","4.861503","-7.796318","0","3.49393","13.765891"
"skin88","1.26","2776","4.953045","7.799463","-4.868004","4.868004","-7.799463","0","3.49821","13.851284"
"skin88","1.265","2776","4.98247","7.829863","-4.897717","4.897717","-7.829863","0","3.517408","14.064693"
"skin88","1.27","2776","5.045219","7.902677","-4.960397","4.960397","-7.902677","0","3.558117","14.401843"
"skin88","1.275","2776","5.149649","8.032199","-5.064094","5.064094","-8.032199","0","3.626311","14.863463"
"skin88","1.28","2776","5.302637","8.231766","-5.215434","5.215434","-8.231766","0","3.727174","15.452524"
"skin88","1.285","2776","5.509246","8.513031","-5.419283","5.419283","-8.513031","0","3.865039","16.162003"
"skin88","1.29","2776","5.772558","8.885117","-5.678599","5.678599","-8.885117","0","4.042878","16.98895"
"skin88","1.295","2776","6.093599","9.354085","-5.994364","5.994364","-9.354085","0","4.26224","17.928079"
"skin88","1.3","2776","6.471487","9.923436","-6.365717","6.365717","-9.923436","0","4.52344","18.974631"
"skin88","1.305","2776","6.903533","10.594096","-6.790054","6.790054","-10.594096","0","4.82557","20.122133"
"skin88","1.31","2776","7.385205","11.362611","-7.262987","7.262987","-11.362611","0","5.166115","21.359985"
"skin88","1.315","2776","7.910179","12.220341","-7.778367","7.778367","-12.220341","0","5.541308","22.674165"
"skin88","1.32","2776","8.467809","13.149366","-8.325742","8.325742","-13.149366","0","5.944187","24.046218"
"skin88","1.325","2776","9.043687","14.123077","-8.890872","8.890872","-14.123077","0","6.363761","25.452417"
"skin88","1.33","2776","9.622387","15.110718","-9.458477","9.458477","-15.110718","0","6.787131","26.856482"
"skin88","1.335","2776","10.189006","16.081644","-10.013847","10.013847","-16.081644","0","7.201954","28.215744"
"skin88","1.34","2776","10.73033","17.009635","-10.544038","10.544038","-17.009635","0","7.597916","29.497995"
"skin88","1.345","2776","11.234818","17.873017","-11.037837","11.037837","-17.873017","0","7.966276","30.684062"
"skin88","1.35","2776","11.692162","18.652964","-11.48527","11.48527","-18.652964","0","8.299201","31.756787"
"skin88","1.355","2776","12.093073","19.332354","-11.877371","11.877371","-19.332354","0","8.589757","32.696053"
"skin88","1.36","2776","12.42943","19.895687","-12.206332","12.206332","-19.895686","0","8.832181","33.48356"
"skin88","1.365","2776","12.694537","20.329597","-12.465749","12.465749","-20.329597","0","9.021529","34.107898"
"skin88","1.37","2776","12.883289","20.62355","-12.650749","12.650749","-20.62355","0","9.153585","34.56504"
"skin88","1.375","2776","12.992397","20.771388","-12.758168","12.758168","-20.771388","0","9.225644","34.854418"
"skin88","1.38","2776","13.020778","20.774107","-12.78691","12.78691","-20.774107","0","9.237435","34.975034"
"skin88","1.385","2776","12.969853","20.641159","-12.738246","12.738246","-20.641159","0","9.191515","34.926841"
"skin88","1.39","2776","12.843453","20.387518","-12.615772","12.615772","-20.387518","0","9.092624","34.71381"
"skin88","1.395","2776","12.647494","20.028894","-12.425116","12.425116","-20.028894","0","8.946361","34.343971"
"skin88","1.4","2776","12.389673","19.579816","-12.173676","12.173676","-19.579816","0","8.758414","33.829191"
"skin88","1.405","2776","12.079221","19.054994","-11.870373","11.870373","-19.054994","0","8.534774","33.185151"
"skin88","1.41","2776","11.726569","18.470323","-11.525336","11.525336","-18.470323","0","8.282053","32.429246"
"skin88","1.415","2776","11.343031","17.841977","-11.149594","11.149594","-17.841977","0","8.007523","31.579894"
"skin88","1.42","2776","10.940608","17.185978","-10.754905","10.754905","-17.185977","0","7.719247","30.659768"
"skin88","1.425","2776","10.531781","16.520001","-10.353554","10.353554","-16.520001","0","7.426123","29.697861"
"skin88","1.43","2776","10.129085","15.864644","-9.957926","9.957926","-15.864644","0","7.137425","28.72686"
"skin88","1.435","2776","9.744554","15.24077","-9.579931","9.579931","-15.24077","0","6.86194","27.778627"
"skin88","1.44","2776","9.389294","14.665665","-9.23058","9.23058","-14.665665","0","6.60745","26.881192"
"skin88","1.445","2776","9.073261","14.153321","-8.919767","8.919767","-14.153321","0","6.380972","26.057883"
"skin88","1.45","2776","8.804916","13.717096","-8.655929","8.655929","-13.717096","0","6.188976","25.327379"
"skin88","1.455","2776","8.590405","13.368823","-8.445211","8.445211","-13.368823","0","6.036487","24.703632"
"skin88","1.46","2776","8.432383","13.114528","-8.290257","8.290257","-13.114528","0","5.925526","24.194341"
"skin88","1.465","2776","8.329239","12.951845","-8.189397","8.189397","-12.951844","0","5.854402","23.798819"
"skin88","1.47","2776","8.275411","12.871507","-8.13697","8.13697","-12.871507","0","5.818445","23.511217"
"skin88","1.475","2776","8.262713","12.861028","-8.124705","8.124705","-12.861028","0","5.811525","23.329013"
"skin88","1.48","2776","8.281815","12.90685","-8.143283","8.143283","-12.90685","0","5.827217","23.254784"
"skin88","1.485","2776","8.323311","12.994582","-8.183449","8.183449","-12.994582","0","5.859278","23.284521"
"skin88","1.49","2776","8.376879","13.107468","-8.235156","8.235156","-13.107468","0","5.900735","23.383634"
"skin88","1.495","2776","8.431972","13.228724","-8.288142","8.288142","-13.228724","0","5.944336","23.489747"
"skin88","1.5","2776","8.477871","13.34158","-8.331916","8.331916","-13.34158","0","5.982715","23.539724"
"skin88","1.505","2776","8.503599","13.428597","-8.355704","8.355704","-13.428597","0","6.008189","23.490501"
"skin88","1.51","2776","8.498375","13.47213","-8.348954","8.348954","-13.47213","0","6.012906","23.318889"
"skin88","1.515","2776","8.452116","13.454213","-8.30188","8.30188","-13.454213","0","5.989338","23.011931"
"skin88","1.52","2776","8.355858","13.356614","-8.205859","8.205859","-13.356614","0","5.930718","22.56342"
"skin88","1.525","2776","8.202002","13.161974","-8.053605","8.053605","-13.161974","0","5.831059","21.973975"
"skin88","1.53","2776","7.984463","12.855286","-7.839242","7.839242","-12.855286","0","5.685104","21.247591"
"skin88","1.535","2776","7.698967","12.425359","-7.558568","7.558568","-12.425359","0","5.488636","20.385482"
"skin88","1.54","2776","7.343559","11.866348","-7.209585","7.209585","-11.866348","0","5.239223","19.385045"
"skin88","1.545","2776","6.919109","11.178917","-6.79304","6.79304","-11.178917","0","4.936956","18.245779"
"skin88","1.55","2776","6.429556","10.370675","-6.312712","6.312712","-10.370675","0","4.584787","16.973855"
"skin88","1.555","2776","5.881821","9.455971","-5.775356","5.775356","-9.455971","0","4.188448","15.580819"
"skin88","1.56","2776","5.285345","8.454782","-5.190244","5.190244","-8.454782","0","3.755924","14.081949"
"skin88","1.565","2776","4.65131","7.390494","-4.568371","4.568371","-7.390494","0","3.296556","12.498177"
"skin88","1.57","2776","3.991782","6.287214","-3.921564","3.921564","-6.287214","0","2.819985","10.857328"
"skin88","1.575","2776","3.319001","5.167579","-3.261775","3.261775","-5.167579","0","2.335186","9.189954"
"skin88","1.58","2776","2.645267","4.053469","-2.600974","2.600974","-4.053469","0","1.8506","7.524281"
"skin88","1.585","2776","1.984128","2.968053","-1.952322","1.952322","-2.968052","0","1.376093","5.886472"
"skin88","1.59","2776","1.347884","1.932362","-1.327643","1.327643","-1.932361","0","0.922168","4.300871"
"skin88","1.595","2776","0.753146","1.037906","-0.742274","0.742274","-1.016212","0","0.509766","2.806054"
"skin88","1.6","2776","0.228866","0.434316","-0.210377","0.210377","-0.417172","0","0.256196","1.447319"
"skin88","1.605","2776","0.306476","0.736573","0.263976","0.279797","-0.071508","0.64521","0.303549","0.64275"
"skin88","1.61","2776","0.692616","1.336312","0.665839","0.665839","0","1.283412","0.542589","0.893403"
"skin88","1.615","2776","1.027233","1.83616","0.995569","0.995569","0","1.805851","0.772678","1.6894"
"skin88","1.62","2776","1.29064","2.22824","1.255007","1.255007","0","2.216988","0.953947","2.372285"
"skin88","1.625","2776","1.47392","2.504762","1.436144","1.436144","0","2.504762","1.079874","2.883681"
"skin88","1.63","2776","1.58686","2.684701","1.548617","1.548617","0","2.6847","1.157588","3.247076"
"skin88","1.635","2776","1.632385","2.759758","1.595207","1.595207","0","2.759757","1.188852","3.465962"
"skin88","1.64","2776","1.608478","2.722299","1.573796","1.573796","0","2.722297","1.171339","3.537601"
"skin88","1.645","2776","1.529689","2.591243","1.498437","1.498437","0","2.591241","1.114419","3.496729"
"skin88","1.65","2776","1.401747","2.372208","1.374566","1.374566","0","2.372206","1.021294","3.357104"
"skin88","1.655","2776","1.233139","2.076831","1.21028","1.21028","0","2.07683","0.897391","3.133178"
"skin88","1.66","2776","1.038682","1.730558","1.019943","1.019943","0","1.730557","0.753746","2.843401"
"skin88","1.665","2776","0.829056","1.350868","0.81386","0.81386","0","1.350867","0.598393","2.491504"
"skin88","1.67","2776","0.618573","0.96153","0.605904","0.605904","0","0.961529","0.442342","2.097123"
"skin88","1.675","2776","0.419937","0.590229","0.407815","0.407815","0","0.589086","0.297357","1.695667"
"skin88","1.68","2776","0.249323","0.437369","0.232616","0.232616","0","0.424975","0.208729","1.331527"
"skin88","1.685","2776","0.133208","0.32111","0.089814","0.092331","-0.037871","0.308178","0.197611","1.038446"
"skin88","1.69","2776","0.154355","0.352052","-0.015324","0.12325","-0.248645","0.225358","0.226552","0.818881"
"skin88","1.695","2776","0.181244","0.396924","-0.07316","0.156153","-0.368357","0.172379","0.257178","0.662697"
"skin88","1.7","2776","0.186181","0.401357","-0.086055","0.164155","-0.401348","0.148238","0.271526","0.590341"
"skin88","1.705","2776","0.16408","0.348184","-0.054553","0.144595","-0.348181","0.164876","0.264183","0.55609"
"skin88","1.71","2776","0.125412","0.20447","0.02482","0.110062","-0.200232","0.20447","0.236024","0.582595"
"skin88","1.715","2776","0.150007","0.269115","0.14349","0.14349","0","0.269115","0.206813","0.750612"
"skin88","1.72","2776","0.302786","0.456816","0.298499","0.298499","0","0.432909","0.223401","1.044995"
"skin88","1.725","2776","0.491703","0.728055","0.484473","0.484473","0","0.703084","0.337141","1.465273"
"skin88","1.73","2776","0.70097","1.087818","0.689477","0.689477","0","1.087817","0.495401","1.96497"
"skin88","1.735","2776","0.919872","1.500402","0.903521","0.903521","0","1.500401","0.662949","2.505016"
"skin88","1.74","2776","1.134049","1.898829","1.112686","1.112686","0","1.898827","0.825913","3.024998"
"skin88","1.745","2776","1.331491","2.260372","1.305296","1.305296","0","2.260369","0.974251","3.473462"
"skin88","1.75","2776","1.497877","2.558929","1.467397","1.467397","0","2.558925","1.096939","3.79756"
"skin88","1.755","2776","1.622481","2.777882","1.58857","1.58857","0","2.777876","1.186951","3.975791"
"skin88","1.76","2776","1.698418","2.908872","1.662121","1.662121","0","2.908868","1.240704","4.005354"
"skin88","1.765","2776","1.710453","2.930148","1.673144","1.673144","0","2.930146","1.248701","3.864274"
"skin88","1.77","2776","1.656096","2.841256","1.61915","1.61915","0","2.841256","1.209989","3.569782"
