stage,case_key,case_label,configured_dynamic_motion_mode,configured_review_time_s,result_mph_exists,metrics_json_exists,postprocess_completed,image_export_completed,review_time_s,last_output_time_s,expected_dynamic_end_time_s,solve_reached_review_time,solve_reached_expected_end,breast_volume_ml,glandular_volume_ml,adipose_volume_ml,glandular_fraction_pct,review_max_displacement_mm,review_avg_displacement_mm,review_breast_vm_max_kpa,review_breast_vm_avg_kpa,review_gland_vm_max_kpa,review_gland_vm_avg_kpa,review_adipose_vm_max_kpa,review_adipose_vm_avg_kpa,review_surface_signed_w_mean_mm,review_surface_signed_w_from_dynamic_start_mm,review_surface_signed_w_relative_to_support_mm,review_surface_disp_mag_mean_mm,review_nipple_signed_w_mean_mm,review_nipple_w_from_dynamic_start_mm,review_nipple_w_relative_to_support_mm,available_time_series_columns,output_dir,metrics_json,time_series_csv,surface_displacement_csv,landmark_displacement_csv,tissue_stress_stats_csv
stage2_chestwall,stage2_xoffset055_autoalign_025g,X-offset 0.055 m auto-align 0.25g,fixed_support_acceleration_pulse,1.55,True,True,True,False,1.55,2.2,2.2,True,True,585.0595467901184,53.60587036755417,531.4536764225651,9.162464002452129,6.163786093007841,3.032620419076791,1.347570570782896,0.3112697328599515,1.347570570782896,0.6870069800801172,0.6396976187309928,0.27337043314614007,-3.6344746306301094,0.13294909435788105,-3.6344746306301094,3.6637309338076474,,,,step;time_s;disp_max_mm;disp_avg_mm;vm_max_pa;gland_vm_max_pa;adipose_vm_max_pa;vm_avg_pa;gland_vm_avg_pa;adipose_vm_avg_pa;vm_std_pa;gland_vm_std_pa;adipose_vm_std_pa;breast_hotspot_factor;gland_hotspot_factor;adipose_hotspot_factor,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_metrics.json,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_time_series.csv,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_surface_displacement.csv,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_landmark_displacement.csv,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_tissue_stress_stats.csv
stage2_chestwall,stage2_slab,Slab reference,,1.125,False,True,True,True,1.125,1.2515401216917648,,True,,718.7169579532182,85.84449224091895,632.8724657123059,11.944130619289858,11.91063930851607,6.0015770342145585,11.770799029963797,0.44459566813635026,3.5732831646616403,0.8828893764754293,11.770799029963797,0.3851443522975197,,,,,,,,step;time_s;disp_max_mm;disp_avg_mm;vm_max_pa;gland_vm_max_pa;adipose_vm_max_pa;vm_avg_pa;gland_vm_avg_pa;adipose_vm_avg_pa,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_slab_reference_fixed_order2,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_slab_reference_fixed_order2/solve/stage2_vp_refined_slab_reference_fixed_order2_metrics.json,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_slab_reference_fixed_order2/solve/stage2_vp_refined_slab_reference_fixed_order2_time_series.csv,,,
stage2_chestwall,stage2_g1025,VP mild g1025,,1.125,False,True,True,True,1.125,1.2540021244106645,,True,,719.1277037537292,80.65908421357113,638.468619540157,11.216239312231178,11.954005087709549,5.9065639280991205,1.828319656763703,0.44046376365824125,1.828319656763703,0.9174045288261461,1.1413397463356767,0.38021083318489896,,,,,,,,step;time_s;disp_max_mm;disp_avg_mm;vm_max_pa;gland_vm_max_pa;adipose_vm_max_pa;vm_avg_pa;gland_vm_avg_pa;adipose_vm_avg_pa,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1025_fixed_order2,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1025_fixed_order2/solve/stage2_vp_refined_mild_g1025_fixed_order2_metrics.json,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1025_fixed_order2/solve/stage2_vp_refined_mild_g1025_fixed_order2_time_series.csv,,,
stage2_chestwall,stage2_g1050,VP mild g1050,,1.125,False,True,True,True,1.125,1.2517041182786606,,True,,719.1864952155256,82.64924114948523,636.5372540660368,11.49204576272208,11.980118177348423,5.930932311269146,1.9162867663398355,0.44203665137173154,1.9162867663398355,0.9076238836742094,1.5057213758260106,0.381583895161654,,,,,,,,step;time_s;disp_max_mm;disp_avg_mm;vm_max_pa;gland_vm_max_pa;adipose_vm_max_pa;vm_avg_pa;gland_vm_avg_pa;adipose_vm_avg_pa,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1050_fixed_order2,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1050_fixed_order2/solve/stage2_vp_refined_mild_g1050_fixed_order2_metrics.json,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1050_fixed_order2/solve/stage2_vp_refined_mild_g1050_fixed_order2_time_series.csv,,,
