stage,case_key,case_label,result_mph_exists,result_mph,metrics_json_exists,time_series_csv_exists,postprocess_completed,image_export_completed,image_png_count,expected_image_png_count,legacy_cooper_image_png_count,output_dir
stage2_chestwall,stage2_xoffset055_autoalign_025g,X-offset 0.055 m auto-align 0.25g,True,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2/solve/stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2_result.mph,True,True,True,False,0,0,0,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_chestwall_xoffset_055_autoalign_vp_fixed_order2
stage2_chestwall,stage2_slab,Slab reference,False,,True,True,True,True,10,7,3,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_slab_reference_fixed_order2
stage2_chestwall,stage2_g1025,VP mild g1025,False,,True,True,True,True,10,7,3,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1025_fixed_order2
stage2_chestwall,stage2_g1050,VP mild g1050,False,,True,True,True,True,10,7,3,runs/comsol_runs/geometry_stage2_chestwall/outputs/output_stage2_vp_refined_mild_g1050_fixed_order2
