case_label,last_output_time_s,solve_reached_expected_end,breast_volume_ml,glandular_fraction_pct,review_avg_displacement_mm,review_surface_signed_w_from_dynamic_start_mm,review_nipple_w_from_dynamic_start_mm,review_breast_vm_avg_kpa,review_breast_vm_max_kpa,review_gland_vm_avg_kpa,review_adipose_vm_avg_kpa
X-offset 0.055 m auto-align 0.25g,2.2,True,585.0595467901184,9.162464002452129,3.032620419076791,0.13294909435788105,,0.3112697328599515,1.347570570782896,0.6870069800801172,0.27337043314614007
Slab reference,1.2515401216917648,,718.7169579532182,11.944130619289858,6.0015770342145585,,,0.44459566813635026,11.770799029963797,0.8828893764754293,0.3851443522975197
VP mild g1025,1.2540021244106645,,719.1277037537292,11.216239312231178,5.9065639280991205,,,0.44046376365824125,1.828319656763703,0.9174045288261461,0.38021083318489896
VP mild g1050,1.2517041182786606,,719.1864952155256,11.49204576272208,5.930932311269146,,,0.44203665137173154,1.9162867663398355,0.9076238836742094,0.381583895161654
