% Model,STAGE6~1.MPH
% Version,COMSOL 6.4.0.378
% Date,"Jun 9 2026, 09:09"
% Table,Table 2 - Volume Average 1
% Time (s),Displacement magnitude (mm),von Mises stress (N/m^2)
0,4.113023333752026E-13,3.9174054427219845E-10
0.025,0.02001740885199446,5.828880796823547
0.05,0.10912193886117914,32.80840328626137
0.07500000000000001,0.2232851677588388,68.43159002060837
0.1,0.2865635846057683,87.52898422029745
0.125,0.29886780456575013,90.6799326422462
0.15000000000000002,0.33844816676183825,102.61193913930781
0.17500000000000002,0.44180086577376637,134.37268866499383
0.2,0.547890762583241,167.15081605103157
0.225,0.5905252514326662,179.83650968612395
0.25,0.5996299389346531,182.13473118732125
0.275,0.6620056420398537,201.0436362954769
0.30000000000000004,0.7780032515280482,236.84712081293495
0.325,0.86459655851918,263.5837710630835
0.35000000000000003,0.8876774239359009,270.00371290706033
0.375,0.9090797130075556,276.16205898055256
0.4,0.9928466475724037,301.9532548835463
0.42500000000000004,1.1079817157334133,337.2857995313034
0.45,1.1746239625955996,357.863075229063
0.47500000000000003,1.1867905032950776,360.8867628288313
0.5,1.2236032069979133,371.73525907381077
0.525,1.3269460021818367,403.85345052055607
0.55,1.4349045453060192,436.88114021243734
0.5750000000000001,1.4766740169602333,449.5007649992503
0.6000000000000001,1.487156694911218,452.22720265346544
0.625,1.5487657664585988,470.72136014168217
0.65,1.6613895884837633,505.7090077328244
0.675,1.7512303753877339,533.2428690372647
0.7000000000000001,1.7772163118449336,540.7453831644293
0.7250000000000001,1.794897299429147,545.6397542708246
0.75,1.8766992114209582,570.7789115677616
0.775,1.9945359841741412,607.1842043526922
0.8,2.0606669003851894,627.2231991805584
0.8250000000000001,2.076497989175672,631.7320611971719
0.8500000000000001,2.111420706246807,641.9733975699405
0.875,2.208025506034992,671.5790598151053
0.9,2.3166306843882154,705.3580845532938
0.925,2.3697906671860376,721.2783187387574
0.9500000000000001,2.382693683058735,724.5555197822765
0.9750000000000001,2.4296356451599177,738.9480859145717
1,2.5369864818258194,771.860982980882
1.0250000000000001,2.617918624780241,797.1165255501649
